year,session_type,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2020,FP1,0 days 00:18:30.684000,GAS,10,,1.0,1.0,0 days 00:16:23.155000,0 days 00:18:24.030000,,0 days 00:00:56.319000,0 days 00:00:34.521000,,0 days 00:17:56.163000,0 days 00:18:33.601000,242.0,198.0,,256.0,False,SOFT,1.0,True,AlphaTauri,0 days 00:16:23.155000,2020-08-07 10:01:23.191,1,,False,,False,False
2020,FP1,0 days 00:37:52.999000,GAS,10,,2.0,2.0,0 days 00:35:45.278000,,,0 days 00:00:56.364000,0 days 00:00:36.707000,,0 days 00:37:16.389000,0 days 00:37:53.106000,291.0,132.0,250.0,247.0,False,SOFT,2.0,False,AlphaTauri,0 days 00:18:30.684000,2020-08-07 10:03:30.720,1,,False,,False,False
2020,FP1,0 days 00:39:21.636000,GAS,10,0 days 00:01:28.637000,3.0,2.0,,,0 days 00:00:28.415000,0 days 00:00:35.942000,0 days 00:00:24.280000,0 days 00:38:21.414000,0 days 00:38:57.356000,0 days 00:39:21.636000,303.0,260.0,248.0,311.0,True,SOFT,3.0,False,AlphaTauri,0 days 00:37:52.999000,2020-08-07 10:22:53.035,1,,False,,False,True
2020,FP1,0 days 00:41:44.545000,GAS,10,0 days 00:02:22.909000,4.0,2.0,,,0 days 00:00:45.965000,0 days 00:01:00.054000,0 days 00:00:36.890000,0 days 00:40:07.601000,0 days 00:41:07.655000,0 days 00:41:44.545000,105.0,185.0,180.0,265.0,False,SOFT,4.0,False,AlphaTauri,0 days 00:39:21.636000,2020-08-07 10:24:21.672,1,,False,,False,True
2020,FP1,0 days 00:43:47.767000,GAS,10,0 days 00:02:03.222000,5.0,2.0,,,0 days 00:00:39.586000,0 days 00:00:50.763000,0 days 00:00:32.873000,0 days 00:42:24.131000,0 days 00:43:14.894000,0 days 00:43:47.767000,282.0,233.0,252.0,266.0,False,SOFT,5.0,False,AlphaTauri,0 days 00:41:44.545000,2020-08-07 10:26:44.581,1,,False,,False,True
2020,FP1,0 days 00:45:15.936000,GAS,10,0 days 00:01:28.169000,6.0,2.0,,,0 days 00:00:28.119000,0 days 00:00:35.695000,0 days 00:00:24.355000,0 days 00:44:15.886000,0 days 00:44:51.581000,0 days 00:45:15.936000,306.0,263.0,246.0,312.0,True,SOFT,6.0,False,AlphaTauri,0 days 00:43:47.767000,2020-08-07 10:28:47.803,1,,False,,False,True
2020,FP1,0 days 00:47:50.024000,GAS,10,,7.0,2.0,,,0 days 00:00:44.046000,0 days 00:01:07.213000,0 days 00:00:42.844000,0 days 00:46:00.005000,0 days 00:47:07.253000,0 days 00:47:51.292000,152.0,166.0,166.0,190.0,False,SOFT,7.0,False,AlphaTauri,0 days 00:45:15.936000,2020-08-07 10:30:15.972,1,,False,,False,False
2020,FP1,0 days 00:49:56.184000,GAS,10,0 days 00:02:06.160000,8.0,2.0,,,0 days 00:00:39.135000,0 days 00:00:51.815000,0 days 00:00:35.210000,0 days 00:48:29.159000,0 days 00:49:20.974000,0 days 00:49:56.184000,272.0,223.0,252.0,262.0,False,SOFT,8.0,False,AlphaTauri,0 days 00:47:50.024000,2020-08-07 10:32:50.060,1,,False,,False,True
2020,FP1,0 days 00:51:24.411000,GAS,10,0 days 00:01:28.227000,9.0,2.0,,,0 days 00:00:28.455000,0 days 00:00:35.682000,0 days 00:00:24.090000,0 days 00:50:24.639000,0 days 00:51:00.321000,0 days 00:51:24.411000,302.0,265.0,248.0,311.0,False,SOFT,9.0,False,AlphaTauri,0 days 00:49:56.184000,2020-08-07 10:34:56.220,1,,False,,False,True
2020,FP1,0 days 00:53:15.891000,GAS,10,0 days 00:01:51.480000,10.0,2.0,,0 days 00:53:13.139000,0 days 00:00:38,0 days 00:00:47.722000,0 days 00:00:25.758000,0 days 00:52:02.411000,0 days 00:52:50.133000,0 days 00:53:15.891000,255.0,241.0,,287.0,False,SOFT,10.0,False,AlphaTauri,0 days 00:51:24.411000,2020-08-07 10:36:24.447,1,,False,,False,False
2020,FP1,0 days 01:09:32.974000,GAS,10,,11.0,3.0,0 days 01:07:23.312000,,,0 days 00:00:56.558000,0 days 00:00:35.598000,,0 days 01:08:57.390000,0 days 01:09:34.542000,298.0,197.0,253.0,182.0,False,SOFT,1.0,True,AlphaTauri,0 days 00:53:15.891000,2020-08-07 10:38:15.927,1,,False,,False,False
2020,FP1,0 days 01:11:00.816000,GAS,10,0 days 00:01:27.842000,12.0,3.0,,,0 days 00:00:28.063000,0 days 00:00:35.639000,0 days 00:00:24.140000,0 days 01:10:01.037000,0 days 01:10:36.676000,0 days 01:11:00.816000,307.0,260.0,248.0,318.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:09:32.974000,2020-08-07 10:54:33.010,1,,False,,False,True
2020,FP1,0 days 01:13:26.426000,GAS,10,0 days 00:02:25.610000,13.0,3.0,,,0 days 00:00:42.320000,0 days 00:01:03.713000,0 days 00:00:39.577000,0 days 01:11:43.136000,0 days 01:12:46.849000,0 days 01:13:26.426000,237.0,165.0,154.0,266.0,False,SOFT,3.0,True,AlphaTauri,0 days 01:11:00.816000,2020-08-07 10:56:00.852,1,,False,,False,True
2020,FP1,0 days 01:15:32.282000,GAS,10,0 days 00:02:05.856000,14.0,3.0,,,0 days 00:00:39.943000,0 days 00:00:55.037000,0 days 00:00:30.876000,0 days 01:14:06.369000,0 days 01:15:01.406000,0 days 01:15:32.282000,276.0,219.0,254.0,256.0,False,SOFT,4.0,True,AlphaTauri,0 days 01:13:26.426000,2020-08-07 10:58:26.462,1,,False,,False,True
2020,FP1,0 days 01:16:59.989000,GAS,10,0 days 00:01:27.707000,15.0,3.0,,,0 days 00:00:28.013000,0 days 00:00:35.594000,0 days 00:00:24.100000,0 days 01:16:00.295000,0 days 01:16:35.889000,0 days 01:16:59.989000,309.0,265.0,250.0,316.0,True,SOFT,5.0,True,AlphaTauri,0 days 01:15:32.282000,2020-08-07 11:00:32.318,1,,False,,False,True
2020,FP1,0 days 01:18:54.544000,GAS,10,0 days 00:01:54.555000,16.0,3.0,,0 days 01:18:48.649000,0 days 00:00:39.266000,0 days 00:00:47.526000,0 days 00:00:27.763000,0 days 01:17:39.255000,0 days 01:18:26.781000,0 days 01:18:54.544000,267.0,221.0,,287.0,False,SOFT,6.0,True,AlphaTauri,0 days 01:16:59.989000,2020-08-07 11:02:00.025,1,,False,,False,False
2020,FP1,0 days 01:33:36.754000,GAS,10,,17.0,4.0,0 days 01:31:56.928000,,,0 days 00:00:40.865000,0 days 00:00:28.135000,,0 days 01:33:08.628000,0 days 01:33:36.869000,298.0,242.0,246.0,278.0,False,SOFT,7.0,False,AlphaTauri,0 days 01:18:54.544000,2020-08-07 11:03:54.580,1,,False,,False,False
