year,session_type,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2018,FP1,0 days 00:23:47.342000,GAS,10,,1.0,1.0,0 days 00:21:41.801000,0 days 00:23:46.280000,,0 days 00:00:49.175000,0 days 00:00:44.355000,,0 days 00:23:02.999000,0 days 00:23:47.342000,161.0,156.0,,262.0,False,WET,1.0,True,Toro Rosso,0 days 00:21:41.801000,2018-10-19 15:06:41.866,1,,False,,False,False
2018,FP1,0 days 00:54:18.059000,GAS,10,,2.0,2.0,0 days 00:52:15.663000,,,0 days 00:00:47.245000,0 days 00:00:41.858000,,0 days 00:53:36.201000,0 days 00:54:18.142000,175.0,159.0,188.0,280.0,False,INTERMEDIATE,1.0,True,Toro Rosso,0 days 00:23:47.342000,2018-10-19 15:08:47.407,12,,False,,False,False
2018,FP1,0 days 01:05:51.279000,GAS,10,,3.0,2.0,,0 days 00:56:40.216000,0 days 00:00:30.900000,,,0 days 00:54:48.980000,,,183.0,,,,False,INTERMEDIATE,2.0,True,Toro Rosso,0 days 00:54:18.059000,2018-10-19 15:39:18.124,15,,False,,False,False
2018,FP1,0 days 01:07:47.206000,GAS,10,,4.0,3.0,0 days 01:05:51.279000,,,0 days 00:00:47.035000,0 days 00:00:39.922000,,0 days 01:07:07.303000,0 days 01:07:47.288000,181.0,154.0,189.0,269.0,False,INTERMEDIATE,3.0,False,Toro Rosso,0 days 01:05:51.279000,2018-10-19 15:50:51.344,1,,False,,False,False
2018,FP1,0 days 01:09:40.116000,GAS,10,0 days 00:01:52.910000,5.0,3.0,,,0 days 00:00:30.085000,0 days 00:00:44.802000,0 days 00:00:38.023000,0 days 01:08:17.291000,0 days 01:09:02.093000,0 days 01:09:40.116000,191.0,164.0,190.0,281.0,True,INTERMEDIATE,4.0,False,Toro Rosso,0 days 01:07:47.206000,2018-10-19 15:52:47.271,12,,False,,False,True
2018,FP1,0 days 01:11:33.040000,GAS,10,0 days 00:01:52.924000,6.0,3.0,,,0 days 00:00:29.635000,0 days 00:00:44.899000,0 days 00:00:38.390000,0 days 01:10:09.751000,0 days 01:10:54.650000,0 days 01:11:33.040000,189.0,167.0,189.0,280.0,False,INTERMEDIATE,5.0,False,Toro Rosso,0 days 01:09:40.116000,2018-10-19 15:54:40.181,1,,False,,False,True
2018,FP1,0 days 01:13:44.360000,GAS,10,0 days 00:02:11.320000,7.0,3.0,,,0 days 00:00:35.116000,0 days 00:00:47.580000,0 days 00:00:48.624000,0 days 01:12:08.156000,0 days 01:12:55.736000,0 days 01:13:44.360000,158.0,164.0,190.0,270.0,False,INTERMEDIATE,6.0,False,Toro Rosso,0 days 01:11:33.040000,2018-10-19 15:56:33.105,1,,False,,False,True
2018,FP1,0 days 01:15:42.984000,GAS,10,0 days 00:01:58.624000,8.0,3.0,,,0 days 00:00:32.738000,0 days 00:00:46.578000,0 days 00:00:39.308000,0 days 01:14:17.098000,0 days 01:15:03.676000,0 days 01:15:42.984000,174.0,163.0,196.0,270.0,False,INTERMEDIATE,7.0,False,Toro Rosso,0 days 01:13:44.360000,2018-10-19 15:58:44.425,1,,False,,False,True
2018,FP1,0 days 01:17:35.080000,GAS,10,0 days 00:01:52.096000,9.0,3.0,,,0 days 00:00:29.226000,0 days 00:00:44.852000,0 days 00:00:38.018000,0 days 01:16:12.210000,0 days 01:16:57.062000,0 days 01:17:35.080000,195.0,171.0,190.0,290.0,True,INTERMEDIATE,8.0,False,Toro Rosso,0 days 01:15:42.984000,2018-10-19 16:00:43.049,1,,False,,False,True
2018,FP1,0 days 01:19:33.274000,GAS,10,0 days 00:01:58.194000,10.0,3.0,,,0 days 00:00:30.554000,0 days 00:00:47.658000,0 days 00:00:39.982000,0 days 01:18:05.634000,0 days 01:18:53.292000,0 days 01:19:33.274000,165.0,163.0,190.0,272.0,False,INTERMEDIATE,9.0,False,Toro Rosso,0 days 01:17:35.080000,2018-10-19 16:02:35.145,1,,False,,False,True
