year,session_type,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2018,FP1,0 days 00:07:08.521000,GAS,10,,1.0,,0 days 00:04:46.847000,0 days 00:07:07.170000,,0 days 00:00:54.068000,0 days 00:00:41.631000,,0 days 00:06:26.890000,0 days 00:07:08.545000,149.0,151.0,,198.0,False,,,True,Toro Rosso,0 days 00:04:46.847000,2018-04-27 09:00:46.991,,,False,,False,False
2018,FP1,0 days 00:33:37.341000,GAS,10,,2.0,2.0,0 days 00:31:38.973000,,,0 days 00:00:51.430000,0 days 00:00:27.255000,,0 days 00:33:10.124000,0 days 00:33:37.435000,154.0,177.0,313.0,298.0,False,SOFT,2.0,False,Toro Rosso,0 days 00:07:08.521000,2018-04-27 09:03:08.665,12.0,,False,,False,False
2018,FP1,0 days 00:35:32.300000,GAS,10,0 days 00:01:54.959000,3.0,2.0,,,0 days 00:00:40.393000,0 days 00:00:46.576000,0 days 00:00:27.990000,0 days 00:34:17.734000,0 days 00:35:04.310000,0 days 00:35:32.300000,186.0,163.0,308.0,312.0,True,SOFT,3.0,False,Toro Rosso,0 days 00:33:37.341000,2018-04-27 09:29:37.485,1.0,,False,,False,True
2018,FP1,0 days 00:37:22.724000,GAS,10,0 days 00:01:50.424000,4.0,2.0,,,0 days 00:00:39.320000,0 days 00:00:45.320000,0 days 00:00:25.784000,0 days 00:36:11.620000,0 days 00:36:56.940000,0 days 00:37:22.724000,205.0,191.0,326.0,316.0,True,SOFT,4.0,False,Toro Rosso,0 days 00:35:32.300000,2018-04-27 09:31:32.444,12.0,,False,,False,True
2018,FP1,0 days 00:39:48.873000,GAS,10,0 days 00:02:26.149000,5.0,2.0,,,0 days 00:00:53.158000,0 days 00:00:56.352000,0 days 00:00:36.639000,0 days 00:38:15.882000,0 days 00:39:12.234000,0 days 00:39:48.873000,128.0,157.0,250.0,152.0,False,SOFT,5.0,False,Toro Rosso,0 days 00:37:22.724000,2018-04-27 09:33:22.868,26.0,,False,,False,False
2018,FP1,0 days 00:42:21.296000,GAS,10,,6.0,2.0,,0 days 00:42:20.058000,0 days 00:00:54.617000,0 days 00:00:54.351000,0 days 00:00:43.448000,0 days 00:40:43.593000,0 days 00:41:37.848000,0 days 00:42:21.336000,133.0,167.0,,192.0,False,SOFT,6.0,False,Toro Rosso,0 days 00:39:48.873000,2018-04-27 09:35:49.017,6.0,,False,,False,False
2018,FP1,0 days 00:53:10.025000,GAS,10,,7.0,3.0,0 days 00:51:15.643000,,,0 days 00:00:48.302000,0 days 00:00:27.297000,,0 days 00:52:42.743000,0 days 00:53:10.124000,173.0,168.0,323.0,298.0,False,SUPERSOFT,1.0,True,Toro Rosso,0 days 00:42:21.296000,2018-04-27 09:38:21.440,671.0,,False,,False,False
2018,FP1,0 days 00:54:58.005000,GAS,10,0 days 00:01:47.980000,8.0,3.0,,,0 days 00:00:38.176000,0 days 00:00:43.967000,0 days 00:00:25.837000,0 days 00:53:48.201000,0 days 00:54:32.168000,0 days 00:54:58.005000,203.0,216.0,326.0,307.0,True,SUPERSOFT,2.0,True,Toro Rosso,0 days 00:53:10.025000,2018-04-27 09:49:10.169,1.0,,False,,False,True
2018,FP1,0 days 00:56:57.242000,GAS,10,0 days 00:01:59.237000,9.0,3.0,,,0 days 00:00:43.862000,0 days 00:00:48.540000,0 days 00:00:26.835000,0 days 00:55:41.867000,0 days 00:56:30.407000,0 days 00:56:57.242000,174.0,192.0,320.0,308.0,False,SUPERSOFT,3.0,True,Toro Rosso,0 days 00:54:58.005000,2018-04-27 09:50:58.149,1.0,,False,,False,True
2018,FP1,0 days 00:58:54.769000,GAS,10,0 days 00:01:57.527000,10.0,3.0,,,0 days 00:00:42.993000,0 days 00:00:47.171000,0 days 00:00:27.363000,0 days 00:57:40.235000,0 days 00:58:27.406000,0 days 00:58:54.769000,179.0,180.0,326.0,302.0,False,SUPERSOFT,4.0,True,Toro Rosso,0 days 00:56:57.242000,2018-04-27 09:52:57.386,12.0,,False,,False,True
2018,FP1,0 days 01:00:42.225000,GAS,10,0 days 00:01:47.456000,11.0,3.0,,,0 days 00:00:38.016000,0 days 00:00:43.922000,0 days 00:00:25.518000,0 days 00:59:32.785000,0 days 01:00:16.707000,0 days 01:00:42.225000,205.0,214.0,337.0,316.0,True,SUPERSOFT,5.0,True,Toro Rosso,0 days 00:58:54.769000,2018-04-27 09:54:54.913,1.0,,False,,False,True
