year,session_type,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2018,FP1,0 days 00:06:47.080000,GAS,10,,1.0,,0 days 00:05:00.573000,0 days 00:06:44.251000,,0 days 00:00:37.900000,0 days 00:00:38.938000,,0 days 00:06:08.142000,0 days 00:06:47.095000,198.0,184.0,,221.0,False,,,True,Toro Rosso,0 days 00:05:00.573000,2018-05-11 09:01:00.601,,,False,,False,False
2018,FP1,0 days 00:26:15.579000,GAS,10,,2.0,2.0,0 days 00:24:48.583000,,,0 days 00:00:32.813000,0 days 00:00:29.334000,,0 days 00:25:46.254000,0 days 00:26:15.662000,227.0,262.0,270.0,234.0,False,MEDIUM,2.0,False,Toro Rosso,0 days 00:06:47.080000,2018-05-11 09:02:47.108,,,False,,False,False
2018,FP1,0 days 00:27:38.471000,GAS,10,0 days 00:01:22.892000,3.0,2.0,,,0 days 00:00:23.449000,0 days 00:00:30.991000,0 days 00:00:28.452000,0 days 00:26:39.028000,0 days 00:27:10.019000,0 days 00:27:38.471000,261.0,290.0,272.0,302.0,True,MEDIUM,3.0,False,Toro Rosso,0 days 00:26:15.579000,2018-05-11 09:22:15.607,,,False,,False,False
2018,FP1,0 days 00:29:11.085000,GAS,10,0 days 00:01:32.614000,4.0,2.0,,,0 days 00:00:23.175000,0 days 00:00:36.284000,0 days 00:00:33.155000,0 days 00:28:01.646000,0 days 00:28:37.930000,0 days 00:29:11.085000,265.0,175.0,273.0,308.0,False,MEDIUM,4.0,False,Toro Rosso,0 days 00:27:38.471000,2018-05-11 09:23:38.499,21.0,,False,,False,True
2018,FP1,0 days 00:30:33.553000,GAS,10,0 days 00:01:22.468000,5.0,2.0,,,0 days 00:00:23.095000,0 days 00:00:30.807000,0 days 00:00:28.566000,0 days 00:29:34.180000,0 days 00:30:04.987000,0 days 00:30:33.553000,264.0,292.0,275.0,310.0,True,MEDIUM,5.0,False,Toro Rosso,0 days 00:29:11.085000,2018-05-11 09:25:11.113,1.0,,False,,False,True
2018,FP1,0 days 00:32:09.213000,GAS,10,0 days 00:01:35.660000,6.0,2.0,,,0 days 00:00:26.084000,0 days 00:00:36.039000,0 days 00:00:33.537000,0 days 00:30:59.637000,0 days 00:31:35.676000,0 days 00:32:09.213000,208.0,229.0,271.0,291.0,False,MEDIUM,6.0,False,Toro Rosso,0 days 00:30:33.553000,2018-05-11 09:26:33.581,12.0,,False,,False,True
2018,FP1,0 days 00:33:30.843000,GAS,10,0 days 00:01:21.630000,7.0,2.0,,,0 days 00:00:22.988000,0 days 00:00:30.579000,0 days 00:00:28.063000,0 days 00:32:32.201000,0 days 00:33:02.780000,0 days 00:33:30.843000,266.0,288.0,281.0,313.0,True,MEDIUM,7.0,False,Toro Rosso,0 days 00:32:09.213000,2018-05-11 09:28:09.241,12.0,,False,,False,True
2018,FP1,0 days 00:35:05.506000,GAS,10,0 days 00:01:34.663000,8.0,2.0,,,0 days 00:00:26.011000,0 days 00:00:36.434000,0 days 00:00:32.218000,0 days 00:33:56.854000,0 days 00:34:33.288000,0 days 00:35:05.506000,223.0,242.0,273.0,312.0,False,MEDIUM,8.0,False,Toro Rosso,0 days 00:33:30.843000,2018-05-11 09:29:30.871,12.0,,False,,False,True
2018,FP1,0 days 00:36:26.725000,GAS,10,0 days 00:01:21.219000,9.0,2.0,,,0 days 00:00:22.712000,0 days 00:00:30.271000,0 days 00:00:28.236000,0 days 00:35:28.218000,0 days 00:35:58.489000,0 days 00:36:26.725000,280.0,285.0,278.0,309.0,True,MEDIUM,9.0,False,Toro Rosso,0 days 00:35:05.506000,2018-05-11 09:31:05.534,1.0,,False,,False,True
2018,FP1,0 days 00:38:00.017000,GAS,10,0 days 00:01:33.292000,10.0,2.0,,,0 days 00:00:27.812000,0 days 00:00:34.487000,0 days 00:00:30.993000,0 days 00:36:54.537000,0 days 00:37:29.024000,0 days 00:38:00.017000,150.0,254.0,279.0,289.0,False,MEDIUM,10.0,False,Toro Rosso,0 days 00:36:26.725000,2018-05-11 09:32:26.753,1.0,,False,,False,True
