year,session_type,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2018,FP1,0 days 00:15:24.647000,GAS,10,,1.0,1.0,0 days 00:13:43.164000,0 days 00:15:21.685000,,0 days 00:00:52.257000,0 days 00:00:25.834000,,0 days 00:14:58.813000,0 days 00:15:24.684000,198.0,185.0,,,False,SOFT,1.0,True,Toro Rosso,0 days 00:13:43.164000,2018-11-09 13:00:27.438,1,,False,,False,False
2018,FP1,0 days 00:32:48.251000,GAS,10,,2.0,2.0,0 days 00:31:25.715000,,,0 days 00:00:42.660000,0 days 00:00:18.314000,,0 days 00:32:29.959000,0 days 00:32:48.327000,268.0,221.0,302.0,,False,SOFT,2.0,False,Toro Rosso,0 days 00:15:24.647000,2018-11-09 13:02:08.921,1,,False,,False,False
2018,FP1,0 days 00:34:01.001000,GAS,10,0 days 00:01:12.750000,3.0,2.0,,,0 days 00:00:19.067000,0 days 00:00:37.113000,0 days 00:00:16.570000,0 days 00:33:07.318000,0 days 00:33:44.431000,0 days 00:34:01.001000,311.0,258.0,314.0,307.0,True,SOFT,3.0,False,Toro Rosso,0 days 00:32:48.251000,2018-11-09 13:19:32.525,1,,False,,False,True
2018,FP1,0 days 00:35:31.114000,GAS,10,0 days 00:01:30.113000,4.0,2.0,,,0 days 00:00:22.318000,0 days 00:00:49.460000,0 days 00:00:18.335000,0 days 00:34:23.319000,0 days 00:35:12.779000,0 days 00:35:31.114000,258.0,221.0,305.0,301.0,False,SOFT,4.0,False,Toro Rosso,0 days 00:34:01.001000,2018-11-09 13:20:45.275,1,,False,,False,True
2018,FP1,0 days 00:36:42.681000,GAS,10,0 days 00:01:11.567000,5.0,2.0,,,0 days 00:00:18.603000,0 days 00:00:36.481000,0 days 00:00:16.483000,0 days 00:35:49.717000,0 days 00:36:26.198000,0 days 00:36:42.681000,312.0,260.0,314.0,310.0,True,SOFT,5.0,False,Toro Rosso,0 days 00:35:31.114000,2018-11-09 13:22:15.388,1,,False,,False,True
2018,FP1,0 days 00:38:20.442000,GAS,10,0 days 00:01:37.761000,6.0,2.0,,,0 days 00:00:26.929000,0 days 00:00:52.982000,0 days 00:00:17.850000,0 days 00:37:09.610000,0 days 00:38:02.592000,0 days 00:38:20.442000,251.0,234.0,311.0,307.0,False,SOFT,6.0,False,Toro Rosso,0 days 00:36:42.681000,2018-11-09 13:23:26.955,1,,False,,False,True
2018,FP1,0 days 00:39:32.169000,GAS,10,0 days 00:01:11.727000,7.0,2.0,,,0 days 00:00:18.514000,0 days 00:00:36.618000,0 days 00:00:16.595000,0 days 00:38:38.956000,0 days 00:39:15.574000,0 days 00:39:32.169000,314.0,258.0,314.0,316.0,False,SOFT,7.0,False,Toro Rosso,0 days 00:38:20.442000,2018-11-09 13:25:04.716,12,,False,,False,True
2018,FP1,0 days 00:41:13.199000,GAS,10,0 days 00:01:41.030000,8.0,2.0,,,0 days 00:00:22.585000,0 days 00:00:59.621000,0 days 00:00:18.824000,0 days 00:39:54.754000,0 days 00:40:54.375000,0 days 00:41:13.199000,274.0,197.0,311.0,295.0,False,SOFT,8.0,False,Toro Rosso,0 days 00:39:32.169000,2018-11-09 13:26:16.443,1,,False,,False,True
2018,FP1,0 days 00:42:24.466000,GAS,10,0 days 00:01:11.267000,9.0,2.0,,,0 days 00:00:18.499000,0 days 00:00:36.300000,0 days 00:00:16.468000,0 days 00:41:31.698000,0 days 00:42:07.998000,0 days 00:42:24.466000,313.0,261.0,312.0,315.0,True,SOFT,9.0,False,Toro Rosso,0 days 00:41:13.199000,2018-11-09 13:27:57.473,1,,False,,False,True
2018,FP1,0 days 00:44:00.102000,GAS,10,0 days 00:01:35.636000,10.0,2.0,,,0 days 00:00:23.755000,0 days 00:00:53.508000,0 days 00:00:18.373000,0 days 00:42:48.221000,0 days 00:43:41.729000,0 days 00:44:00.102000,270.0,216.0,314.0,290.0,False,SOFT,10.0,False,Toro Rosso,0 days 00:42:24.466000,2018-11-09 13:29:08.740,1,,False,,False,True
2018,FP1,0 days 00:45:11.520000,GAS,10,0 days 00:01:11.418000,11.0,2.0,,,0 days 00:00:18.468000,0 days 00:00:36.307000,0 days 00:00:16.643000,0 days 00:44:18.570000,0 days 00:44:54.877000,0 days 00:45:11.520000,314.0,261.0,316.0,317.0,False,SOFT,11.0,False,Toro Rosso,0 days 00:44:00.102000,2018-11-09 13:30:44.376,1,,False,,False,True
2018,FP1,0 days 00:46:43.376000,GAS,10,0 days 00:01:31.856000,12.0,2.0,,0 days 00:46:40.442000,0 days 00:00:23.101000,0 days 00:00:46.448000,0 days 00:00:22.307000,0 days 00:45:34.621000,0 days 00:46:21.069000,0 days 00:46:43.376000,272.0,213.0,,294.0,False,SOFT,12.0,False,Toro Rosso,0 days 00:45:11.520000,2018-11-09 13:31:55.794,1,,False,,False,False
2018,FP1,0 days 00:48:55.011000,GAS,10,0 days 00:02:11.635000,13.0,3.0,0 days 00:47:12.574000,0 days 00:48:51.561000,0 days 00:01:05.804000,0 days 00:00:43.412000,0 days 00:00:22.419000,0 days 00:47:49.180000,0 days 00:48:32.592000,0 days 00:48:55.011000,263.0,227.0,,,False,SOFT,13.0,False,Toro Rosso,0 days 00:46:43.376000,2018-11-09 13:33:27.650,1,,False,,False,False
2018,FP1,0 days 00:51:15.028000,GAS,10,0 days 00:02:20.017000,14.0,4.0,0 days 00:49:26.719000,0 days 00:51:12.087000,0 days 00:01:06.383000,0 days 00:00:51.592000,0 days 00:00:22.042000,0 days 00:50:01.394000,0 days 00:50:52.986000,0 days 00:51:15.028000,264.0,222.0,,,False,SOFT,14.0,False,Toro Rosso,0 days 00:48:55.011000,2018-11-09 13:35:39.285,1,,False,,False,False
2018,FP1,0 days 01:07:14.956000,GAS,10,,15.0,5.0,0 days 01:05:52.219000,,,0 days 00:00:41.143000,0 days 00:00:18.484000,,0 days 01:06:56.487000,0 days 01:07:15.033000,268.0,229.0,307.0,,False,SOFT,1.0,True,Toro Rosso,0 days 00:51:15.028000,2018-11-09 13:37:59.302,1,,False,,False,False
2018,FP1,0 days 01:08:41.754000,GAS,10,0 days 00:01:26.798000,16.0,5.0,,,0 days 00:00:21.482000,0 days 00:00:47.259000,0 days 00:00:18.057000,0 days 01:07:36.438000,0 days 01:08:23.697000,0 days 01:08:41.754000,235.0,224.0,310.0,312.0,False,SOFT,2.0,True,Toro Rosso,0 days 01:07:14.956000,2018-11-09 13:53:59.230,1,,False,,False,True
2018,FP1,0 days 01:09:52.688000,GAS,10,0 days 00:01:10.934000,17.0,5.0,,,0 days 00:00:18.384000,0 days 00:00:36.127000,0 days 00:00:16.423000,0 days 01:09:00.138000,0 days 01:09:36.265000,0 days 01:09:52.688000,314.0,260.0,319.0,316.0,True,SOFT,3.0,True,Toro Rosso,0 days 01:08:41.754000,2018-11-09 13:55:26.028,1,,False,,False,True
2018,FP1,0 days 01:11:32.685000,GAS,10,0 days 00:01:39.997000,18.0,5.0,,,0 days 00:00:24.305000,0 days 00:00:57.138000,0 days 00:00:18.554000,0 days 01:10:16.993000,0 days 01:11:14.131000,0 days 01:11:32.685000,248.0,159.0,309.0,297.0,False,SOFT,4.0,True,Toro Rosso,0 days 01:09:52.688000,2018-11-09 13:56:36.962,1,,False,,False,True
