year,session_type,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2018,FP1,0 days 00:06:16.079000,GAS,10,,1.0,,0 days 00:04:29.810000,0 days 00:06:14.096000,,0 days 00:00:38.180000,0 days 00:00:32.100000,,0 days 00:05:44.022000,0 days 00:06:16.079000,196.0,132.0,,,False,,,True,Toro Rosso,0 days 00:04:29.810000,,,,False,,False,False
2018,FP1,0 days 00:22:02.313000,GAS,10,,2.0,2.0,0 days 00:20:18.037000,,,0 days 00:00:42.285000,0 days 00:00:28.897000,,0 days 00:21:33.434000,0 days 00:22:02.420000,211.0,201.0,248.0,,False,SOFT,2.0,False,Toro Rosso,0 days 00:06:16.079000,,,,False,,False,False
2018,FP1,0 days 00:23:23.728000,GAS,10,0 days 00:01:21.415000,3.0,2.0,,,0 days 00:00:28.971000,0 days 00:00:29.730000,0 days 00:00:22.714000,0 days 00:22:31.284000,0 days 00:23:01.014000,0 days 00:23:23.728000,273.0,237.0,252.0,293.0,True,SOFT,3.0,False,Toro Rosso,0 days 00:22:02.313000,,,,False,,False,False
2018,FP1,0 days 00:25:17.001000,GAS,10,0 days 00:01:53.273000,4.0,2.0,,,0 days 00:00:42.180000,0 days 00:00:45.398000,0 days 00:00:25.695000,0 days 00:24:05.908000,0 days 00:24:51.306000,0 days 00:25:17.001000,135.0,169.0,249.0,286.0,False,SOFT,4.0,False,Toro Rosso,0 days 00:23:23.728000,,,,False,,False,False
2018,FP1,0 days 00:26:54.818000,GAS,10,0 days 00:01:37.817000,5.0,2.0,,,0 days 00:00:28.955000,0 days 00:00:36.742000,0 days 00:00:32.120000,0 days 00:25:45.956000,0 days 00:26:22.698000,0 days 00:26:54.818000,274.0,150.0,250.0,295.0,False,SOFT,5.0,False,Toro Rosso,0 days 00:25:17.001000,,,,False,,False,False
2018,FP1,0 days 00:28:15.313000,GAS,10,0 days 00:01:20.495000,6.0,2.0,,,0 days 00:00:28.757000,0 days 00:00:28.776000,0 days 00:00:22.962000,0 days 00:27:23.575000,0 days 00:27:52.351000,0 days 00:28:15.313000,275.0,244.0,251.0,,True,SOFT,6.0,False,Toro Rosso,0 days 00:26:54.818000,,,,False,,False,False
2018,FP1,0 days 00:30:08.097000,GAS,10,0 days 00:01:52.784000,7.0,2.0,,,0 days 00:00:41.408000,0 days 00:00:43.084000,0 days 00:00:28.292000,0 days 00:28:56.721000,0 days 00:29:39.805000,0 days 00:30:08.097000,183.0,187.0,252.0,287.0,False,SOFT,7.0,False,Toro Rosso,0 days 00:28:15.313000,,,,False,,False,False
2018,FP1,0 days 00:31:28.204000,GAS,10,0 days 00:01:20.107000,8.0,2.0,,,0 days 00:00:28.693000,0 days 00:00:28.493000,0 days 00:00:22.921000,0 days 00:30:36.790000,0 days 00:31:05.283000,0 days 00:31:28.204000,275.0,243.0,254.0,297.0,True,SOFT,8.0,False,Toro Rosso,0 days 00:30:08.097000,,,,False,,False,False
2018,FP1,0 days 00:33:15.254000,GAS,10,0 days 00:01:47.050000,9.0,2.0,,,0 days 00:00:40.115000,0 days 00:00:41.389000,0 days 00:00:25.546000,0 days 00:32:08.319000,0 days 00:32:49.708000,0 days 00:33:15.254000,214.0,200.0,252.0,291.0,False,SOFT,9.0,False,Toro Rosso,0 days 00:31:28.204000,,,,False,,False,False
2018,FP1,0 days 00:34:35.643000,GAS,10,0 days 00:01:20.389000,10.0,2.0,,,0 days 00:00:28.727000,0 days 00:00:28.499000,0 days 00:00:23.163000,0 days 00:33:43.981000,0 days 00:34:12.480000,0 days 00:34:35.643000,273.0,244.0,254.0,299.0,False,SOFT,10.0,False,Toro Rosso,0 days 00:33:15.254000,,,,False,,False,False
2018,FP1,0 days 00:36:22.019000,GAS,10,0 days 00:01:46.376000,11.0,2.0,,,0 days 00:00:37.657000,0 days 00:00:39.386000,0 days 00:00:29.333000,0 days 00:35:13.300000,0 days 00:35:52.686000,0 days 00:36:22.019000,196.0,216.0,250.0,292.0,False,SOFT,11.0,False,Toro Rosso,0 days 00:34:35.643000,,21.0,,False,,False,True
2018,FP1,0 days 00:37:42.508000,GAS,10,0 days 00:01:20.489000,12.0,2.0,,,0 days 00:00:28.773000,0 days 00:00:28.645000,0 days 00:00:23.071000,0 days 00:36:50.792000,0 days 00:37:19.437000,0 days 00:37:42.508000,276.0,243.0,254.0,296.0,False,SOFT,12.0,False,Toro Rosso,0 days 00:36:22.019000,,1.0,,False,,False,True
2018,FP1,0 days 00:39:29.566000,GAS,10,0 days 00:01:47.058000,13.0,2.0,,0 days 00:39:27.845000,0 days 00:00:35.178000,0 days 00:00:40.945000,0 days 00:00:30.935000,0 days 00:38:17.686000,0 days 00:38:58.631000,0 days 00:39:29.566000,238.0,216.0,,293.0,False,SOFT,13.0,False,Toro Rosso,0 days 00:37:42.508000,,1.0,,False,,False,False
2018,FP1,0 days 00:41:48.799000,GAS,10,0 days 00:02:19.233000,14.0,3.0,0 days 00:39:56.066000,0 days 00:41:47.057000,0 days 00:01:10.738000,0 days 00:00:37.889000,0 days 00:00:30.606000,0 days 00:40:40.304000,0 days 00:41:18.193000,0 days 00:41:48.799000,235.0,215.0,,,False,SOFT,14.0,False,Toro Rosso,0 days 00:39:29.566000,,1.0,,False,,False,False
2018,FP1,0 days 00:59:38.953000,GAS,10,,15.0,4.0,0 days 00:57:38.364000,,,0 days 00:00:49.303000,0 days 00:00:34.836000,,0 days 00:59:04.135000,0 days 00:59:42.712000,195.0,203.0,246.0,,False,SOFT,1.0,True,Toro Rosso,0 days 00:41:48.799000,,12.0,,False,,False,False
2018,FP1,0 days 01:01:15.912000,GAS,10,0 days 00:01:36.959000,16.0,4.0,,,0 days 00:00:28.889000,0 days 00:00:41.890000,0 days 00:00:26.180000,0 days 01:00:07.842000,0 days 01:00:49.732000,0 days 01:01:15.912000,270.0,182.0,249.0,294.0,False,SOFT,2.0,True,Toro Rosso,0 days 00:59:38.953000,,12.0,,False,,False,True
2018,FP1,0 days 01:02:36.115000,GAS,10,0 days 00:01:20.203000,17.0,4.0,,,0 days 00:00:28.756000,0 days 00:00:28.562000,0 days 00:00:22.885000,0 days 01:01:44.668000,0 days 01:02:13.230000,0 days 01:02:36.115000,274.0,242.0,253.0,,False,SOFT,3.0,True,Toro Rosso,0 days 01:01:15.912000,,12.0,,False,,False,True
2018,FP1,0 days 01:04:37.772000,GAS,10,0 days 00:02:01.657000,18.0,4.0,,,0 days 00:00:44.460000,0 days 00:00:42.638000,0 days 00:00:34.559000,0 days 01:03:20.575000,0 days 01:04:03.213000,0 days 01:04:37.772000,213.0,196.0,247.0,287.0,False,SOFT,4.0,True,Toro Rosso,0 days 01:02:36.115000,,2.0,,False,,False,True
2018,FP1,0 days 01:06:18.897000,GAS,10,0 days 00:01:41.125000,19.0,4.0,,,0 days 00:00:28.620000,0 days 00:00:40.293000,0 days 00:00:32.212000,0 days 01:05:06.392000,0 days 01:05:46.685000,0 days 01:06:18.897000,275.0,136.0,250.0,295.0,False,SOFT,5.0,True,Toro Rosso,0 days 01:04:37.772000,,21.0,,False,,False,True
2018,FP1,0 days 01:07:38.899000,GAS,10,0 days 00:01:20.002000,20.0,4.0,,,0 days 00:00:28.711000,0 days 00:00:28.561000,0 days 00:00:22.730000,0 days 01:06:47.608000,0 days 01:07:16.169000,0 days 01:07:38.899000,,244.0,253.0,296.0,True,SOFT,6.0,True,Toro Rosso,0 days 01:06:18.897000,,1.0,,False,,False,True
2018,FP1,0 days 01:09:44.187000,GAS,10,0 days 00:02:05.288000,21.0,4.0,,,0 days 00:00:46.796000,0 days 00:00:49.487000,0 days 00:00:29.005000,0 days 01:08:25.695000,0 days 01:09:15.182000,0 days 01:09:44.187000,126.0,183.0,251.0,291.0,False,SOFT,7.0,True,Toro Rosso,0 days 01:07:38.899000,,1.0,,False,,False,True
2018,FP1,0 days 01:11:03.539000,GAS,10,0 days 00:01:19.352000,22.0,4.0,,,0 days 00:00:28.688000,0 days 00:00:28.073000,0 days 00:00:22.591000,0 days 01:10:12.875000,0 days 01:10:40.948000,0 days 01:11:03.539000,275.0,244.0,251.0,293.0,True,SOFT,8.0,True,Toro Rosso,0 days 01:09:44.187000,,1.0,,False,,False,True
2018,FP1,0 days 01:12:46.021000,GAS,10,0 days 00:01:42.482000,23.0,4.0,,0 days 01:12:44.262000,0 days 00:00:36.477000,0 days 00:00:38.128000,0 days 00:00:27.877000,0 days 01:11:40.016000,0 days 01:12:18.144000,0 days 01:12:46.021000,242.0,202.0,,285.0,False,SOFT,9.0,True,Toro Rosso,0 days 01:11:03.539000,,1.0,,False,,False,False
2018,FP1,0 days 01:24:38.088000,GAS,10,,24.0,5.0,0 days 01:22:47.237000,,,0 days 00:00:42.717000,0 days 00:00:29.782000,,0 days 01:24:08.321000,0 days 01:24:38.199000,125.0,206.0,248.0,,False,SOFT,10.0,False,Toro Rosso,0 days 01:12:46.021000,,1.0,,False,,False,False
2018,FP1,0 days 01:25:58.236000,GAS,10,0 days 00:01:20.148000,25.0,5.0,,,0 days 00:00:28.611000,0 days 00:00:28.539000,0 days 00:00:22.998000,0 days 01:25:06.699000,0 days 01:25:35.238000,0 days 01:25:58.236000,275.0,240.0,240.0,297.0,False,SOFT,11.0,False,Toro Rosso,0 days 01:24:38.088000,,1.0,,False,,False,True
2018,FP1,0 days 01:27:51.209000,GAS,10,0 days 00:01:52.973000,26.0,5.0,,,0 days 00:00:37.789000,0 days 00:00:43.240000,0 days 00:00:31.944000,0 days 01:26:36.025000,0 days 01:27:19.265000,0 days 01:27:51.209000,226.0,162.0,249.0,281.0,False,SOFT,12.0,False,Toro Rosso,0 days 01:25:58.236000,,1.0,,False,,False,True
