year,session_type,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2020,FP1,0 days 00:17:42.507000,GAS,10,,1.0,1.0,0 days 00:16:09.102000,,,0 days 00:00:33.107000,0 days 00:00:29.713000,,0 days 00:17:12.834000,0 days 00:17:42.780000,116.0,245.0,271.0,267.0,False,HARD,1.0,True,AlphaTauri,0 days 00:16:09.102000,2020-10-31 09:01:36.199,1,,False,,False,False
2020,FP1,0 days 00:19:12.929000,GAS,10,0 days 00:01:30.422000,2.0,1.0,,,0 days 00:00:29.061000,0 days 00:00:29.572000,0 days 00:00:31.789000,0 days 00:18:11.568000,0 days 00:18:41.140000,0 days 00:19:12.929000,202.0,239.0,276.0,268.0,True,HARD,2.0,True,AlphaTauri,0 days 00:17:42.507000,2020-10-31 09:03:09.604,1,,False,,False,True
2020,FP1,0 days 00:20:31.756000,GAS,10,0 days 00:01:18.827000,3.0,1.0,,,0 days 00:00:25.365000,0 days 00:00:27.092000,0 days 00:00:26.370000,0 days 00:19:38.294000,0 days 00:20:05.386000,0 days 00:20:31.756000,218.0,259.0,277.0,295.0,False,HARD,3.0,True,AlphaTauri,0 days 00:19:12.929000,2020-10-31 09:04:40.026,1,,True,TRACK LIMITS AT TURN 9,False,True
2020,FP1,0 days 00:21:58.398000,GAS,10,0 days 00:01:26.642000,4.0,1.0,,,0 days 00:00:24.692000,0 days 00:00:27.193000,0 days 00:00:34.757000,0 days 00:20:56.448000,0 days 00:21:23.641000,0 days 00:21:58.398000,217.0,259.0,277.0,265.0,False,HARD,4.0,True,AlphaTauri,0 days 00:20:31.756000,2020-10-31 09:05:58.853,1,,True,TRACK LIMITS AT TURN 9,False,True
2020,FP1,0 days 00:23:16.560000,GAS,10,0 days 00:01:18.162000,5.0,1.0,,,0 days 00:00:24.742000,0 days 00:00:26.644000,0 days 00:00:26.776000,0 days 00:22:23.140000,0 days 00:22:49.784000,0 days 00:23:16.560000,224.0,260.0,278.0,289.0,False,HARD,5.0,True,AlphaTauri,0 days 00:21:58.398000,2020-10-31 09:07:25.495,1,,True,TRACK LIMITS AT TURN 9,False,True
2020,FP1,0 days 00:24:52.534000,GAS,10,0 days 00:01:35.974000,6.0,1.0,,,0 days 00:00:31.033000,0 days 00:00:36.013000,0 days 00:00:28.928000,0 days 00:23:47.593000,0 days 00:24:23.606000,0 days 00:24:52.534000,182.0,229.0,275.0,267.0,False,HARD,6.0,True,AlphaTauri,0 days 00:23:16.560000,2020-10-31 09:08:43.657,12,,False,,False,True
2020,FP1,0 days 00:26:09.603000,GAS,10,0 days 00:01:17.069000,7.0,1.0,,,0 days 00:00:24.630000,0 days 00:00:26.581000,0 days 00:00:25.858000,0 days 00:25:17.164000,0 days 00:25:43.745000,0 days 00:26:09.603000,225.0,260.0,278.0,292.0,False,HARD,7.0,True,AlphaTauri,0 days 00:24:52.534000,2020-10-31 09:10:19.631,1,,True,TRACK LIMITS AT TURN 9,False,True
2020,FP1,0 days 00:27:40.649000,GAS,10,0 days 00:01:31.046000,8.0,1.0,,,0 days 00:00:24.677000,0 days 00:00:32.409000,0 days 00:00:33.960000,0 days 00:26:34.280000,0 days 00:27:06.689000,0 days 00:27:40.649000,215.0,225.0,277.0,249.0,False,HARD,8.0,True,AlphaTauri,0 days 00:26:09.603000,2020-10-31 09:11:36.700,1,,False,,False,True
2020,FP1,0 days 00:28:57.410000,GAS,10,0 days 00:01:16.761000,9.0,1.0,,,0 days 00:00:24.521000,0 days 00:00:26.485000,0 days 00:00:25.755000,0 days 00:28:05.170000,0 days 00:28:31.655000,0 days 00:28:57.410000,228.0,260.0,279.0,292.0,False,HARD,9.0,True,AlphaTauri,0 days 00:27:40.649000,2020-10-31 09:13:07.746,1,,True,TRACK LIMITS AT TURN 15,False,True
2020,FP1,0 days 00:30:31.284000,GAS,10,0 days 00:01:33.874000,10.0,1.0,,,0 days 00:00:31.108000,0 days 00:00:34.359000,0 days 00:00:28.407000,0 days 00:29:28.518000,0 days 00:30:02.877000,0 days 00:30:31.284000,158.0,248.0,276.0,268.0,False,HARD,10.0,True,AlphaTauri,0 days 00:28:57.410000,2020-10-31 09:14:24.507,1,,False,,False,True
