year,session_type,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2018,FP1,0 days 00:06:04.741000,GAS,10,,1.0,,0 days 00:04:26.431000,0 days 00:06:02.210000,,0 days 00:00:44.909000,0 days 00:00:35.584000,,0 days 00:05:29.166000,0 days 00:06:04.741000,185.0,178.0,,285.0,False,,,True,Toro Rosso,0 days 00:04:26.431000,2018-07-20 09:00:26.453,,,False,,False,False
2018,FP1,0 days 00:22:43.672000,GAS,10,,2.0,1.0,0 days 00:21:14.048000,,,0 days 00:00:42.994000,0 days 00:00:27.792000,,0 days 00:22:15.898000,0 days 00:22:43.757000,173.0,212.0,265.0,286.0,False,SOFT,1.0,True,Toro Rosso,0 days 00:06:04.741000,2018-07-20 09:02:04.763,,,False,,False,False
2018,FP1,0 days 00:24:01.689000,GAS,10,0 days 00:01:18.017000,3.0,2.0,,,0 days 00:00:17.070000,0 days 00:00:37.017000,0 days 00:00:23.930000,0 days 00:23:00.742000,0 days 00:23:37.759000,0 days 00:24:01.689000,210.0,255.0,265.0,306.0,True,SOFT,2.0,False,Toro Rosso,0 days 00:22:43.672000,2018-07-20 09:18:43.694,,,False,,False,False
2018,FP1,0 days 00:25:45.547000,GAS,10,0 days 00:01:43.858000,4.0,2.0,,,0 days 00:00:21.967000,0 days 00:00:49.107000,0 days 00:00:32.784000,0 days 00:24:23.656000,0 days 00:25:12.763000,0 days 00:25:45.547000,168.0,193.0,266.0,268.0,False,SOFT,3.0,False,Toro Rosso,0 days 00:24:01.689000,2018-07-20 09:20:01.711,,,False,,False,False
2018,FP1,0 days 00:27:02.488000,GAS,10,0 days 00:01:16.941000,5.0,2.0,,,0 days 00:00:16.769000,0 days 00:00:36.533000,0 days 00:00:23.639000,0 days 00:26:02.316000,0 days 00:26:38.849000,0 days 00:27:02.488000,210.0,258.0,266.0,306.0,True,SOFT,4.0,False,Toro Rosso,0 days 00:25:45.547000,2018-07-20 09:21:45.569,,,False,,False,False
2018,FP1,0 days 00:28:52.662000,GAS,10,0 days 00:01:50.174000,6.0,2.0,,,0 days 00:00:22.547000,0 days 00:00:53.056000,0 days 00:00:34.571000,0 days 00:27:25.035000,0 days 00:28:18.091000,0 days 00:28:52.662000,147.0,129.0,266.0,265.0,False,SOFT,5.0,False,Toro Rosso,0 days 00:27:02.488000,2018-07-20 09:23:02.510,,,False,,False,False
2018,FP1,0 days 00:30:09.524000,GAS,10,0 days 00:01:16.862000,7.0,2.0,,,0 days 00:00:16.616000,0 days 00:00:36.370000,0 days 00:00:23.876000,0 days 00:29:09.278000,0 days 00:29:45.648000,0 days 00:30:09.524000,210.0,259.0,267.0,309.0,True,SOFT,6.0,False,Toro Rosso,0 days 00:28:52.662000,2018-07-20 09:24:52.684,,,False,,False,False
2018,FP1,0 days 00:32:05.977000,GAS,10,0 days 00:01:56.453000,8.0,2.0,,,0 days 00:00:25.251000,0 days 00:01:01.138000,0 days 00:00:30.064000,0 days 00:30:34.775000,0 days 00:31:35.913000,0 days 00:32:05.977000,125.0,156.0,265.0,181.0,False,SOFT,7.0,False,Toro Rosso,0 days 00:30:09.524000,2018-07-20 09:26:09.546,,,False,,False,False
2018,FP1,0 days 00:33:43.387000,GAS,10,0 days 00:01:37.410000,9.0,2.0,,,0 days 00:00:20.013000,0 days 00:00:47.472000,0 days 00:00:29.925000,0 days 00:32:25.990000,0 days 00:33:13.462000,0 days 00:33:43.387000,162.0,141.0,267.0,283.0,False,SOFT,8.0,False,Toro Rosso,0 days 00:32:05.977000,2018-07-20 09:28:05.999,,,False,,False,False
2018,FP1,0 days 00:34:59.738000,GAS,10,0 days 00:01:16.351000,10.0,2.0,,,0 days 00:00:16.613000,0 days 00:00:36.199000,0 days 00:00:23.539000,0 days 00:34:00,0 days 00:34:36.199000,0 days 00:34:59.738000,213.0,259.0,267.0,314.0,True,SOFT,9.0,False,Toro Rosso,0 days 00:33:43.387000,2018-07-20 09:29:43.409,,,False,,False,False
2018,FP1,0 days 00:36:56.220000,GAS,10,0 days 00:01:56.482000,11.0,2.0,,,0 days 00:00:24.001000,0 days 00:00:53.380000,0 days 00:00:39.101000,0 days 00:35:23.739000,0 days 00:36:17.119000,0 days 00:36:56.220000,142.0,194.0,267.0,263.0,False,SOFT,10.0,False,Toro Rosso,0 days 00:34:59.738000,2018-07-20 09:30:59.760,,,False,,False,False
2018,FP1,0 days 00:38:12.977000,GAS,10,0 days 00:01:16.757000,12.0,2.0,,,0 days 00:00:16.562000,0 days 00:00:36.537000,0 days 00:00:23.658000,0 days 00:37:12.782000,0 days 00:37:49.319000,0 days 00:38:12.977000,212.0,260.0,268.0,315.0,False,SOFT,11.0,False,Toro Rosso,0 days 00:36:56.220000,2018-07-20 09:32:56.242,,,False,,False,False
2018,FP1,0 days 00:39:48.907000,GAS,10,0 days 00:01:35.930000,13.0,2.0,,0 days 00:39:46.383000,0 days 00:00:20.415000,0 days 00:00:43.733000,0 days 00:00:31.782000,0 days 00:38:33.392000,0 days 00:39:17.125000,0 days 00:39:48.907000,181.0,240.0,,255.0,False,SOFT,12.0,False,Toro Rosso,0 days 00:38:12.977000,2018-07-20 09:34:12.999,,,False,,False,False
2018,FP1,0 days 00:41:46.288000,GAS,10,0 days 00:01:57.381000,14.0,3.0,0 days 00:40:11.715000,0 days 00:41:43.768000,0 days 00:00:42.720000,0 days 00:00:44.413000,0 days 00:00:30.248000,0 days 00:40:31.627000,0 days 00:41:16.040000,0 days 00:41:46.288000,182.0,240.0,,275.0,False,SOFT,14.0,False,Toro Rosso,0 days 00:39:48.907000,2018-07-20 09:35:48.929,,,False,,False,False
2018,FP1,0 days 00:59:08.791000,GAS,10,,15.0,4.0,0 days 00:57:27.860000,,,0 days 00:00:45.478000,0 days 00:00:35.945000,,0 days 00:58:32.865000,0 days 00:59:08.870000,143.0,228.0,266.0,294.0,False,SOFT,1.0,True,Toro Rosso,0 days 00:41:46.288000,2018-07-20 09:37:46.310,,,False,,False,False
2018,FP1,0 days 01:00:24.862000,GAS,10,0 days 00:01:16.071000,16.0,4.0,,,0 days 00:00:16.368000,0 days 00:00:36.138000,0 days 00:00:23.565000,0 days 00:59:25.159000,0 days 01:00:01.297000,0 days 01:00:24.862000,211.0,261.0,269.0,313.0,True,SOFT,2.0,True,Toro Rosso,0 days 00:59:08.791000,2018-07-20 09:55:08.813,,,False,,False,False
2018,FP1,0 days 01:02:19.336000,GAS,10,0 days 00:01:54.474000,17.0,4.0,,,0 days 00:00:25.359000,0 days 00:00:56.447000,0 days 00:00:32.668000,0 days 01:00:50.221000,0 days 01:01:46.668000,0 days 01:02:19.336000,127.0,208.0,267.0,156.0,False,SOFT,3.0,True,Toro Rosso,0 days 01:00:24.862000,2018-07-20 09:56:24.884,,,False,,False,False
