year,session_type,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2018,FP1,0 days 00:19:28.935000,GAS,10,,1.0,1.0,0 days 00:04:28.996000,0 days 00:06:26.843000,0 days 00:00:35.274000,0 days 00:00:32.924000,,0 days 00:05:03.842000,0 days 00:05:36.704000,,96.0,198.0,,322.0,False,SUPERSOFT,1.0,True,Toro Rosso,0 days 00:04:28.996000,2018-06-22 10:00:29.001,21.0,,False,,False,False
2018,FP1,0 days 00:21:16.837000,GAS,10,0 days 00:01:47.902000,2.0,2.0,0 days 00:19:29.448000,,0 days 00:00:31.276000,0 days 00:00:30.210000,0 days 00:00:46.416000,0 days 00:20:00.211000,0 days 00:20:30.421000,0 days 00:21:16.837000,107.0,253.0,289.0,322.0,False,SUPERSOFT,2.0,False,Toro Rosso,0 days 00:19:28.935000,2018-06-22 10:15:28.940,1.0,,False,,False,False
2018,FP1,0 days 00:22:54.192000,GAS,10,0 days 00:01:37.355000,3.0,2.0,,,0 days 00:00:24.783000,0 days 00:00:29.297000,0 days 00:00:43.275000,0 days 00:21:41.620000,0 days 00:22:10.917000,0 days 00:22:54.192000,117.0,255.0,293.0,320.0,True,SUPERSOFT,3.0,False,Toro Rosso,0 days 00:21:16.837000,2018-06-22 10:17:16.842,1.0,,False,,False,True
2018,FP1,0 days 00:24:56.791000,GAS,10,0 days 00:02:02.599000,4.0,2.0,,,0 days 00:00:27.615000,0 days 00:00:36.156000,0 days 00:00:58.828000,0 days 00:23:21.807000,0 days 00:23:57.963000,0 days 00:24:56.791000,103.0,214.0,291.0,230.0,False,SUPERSOFT,4.0,False,Toro Rosso,0 days 00:22:54.192000,2018-06-22 10:18:54.197,1.0,,False,,False,True
2018,FP1,0 days 00:35:34.056000,GAS,10,,5.0,2.0,,0 days 00:26:31.842000,0 days 00:00:23.942000,0 days 00:00:29.248000,,0 days 00:25:21.180000,0 days 00:25:50.043000,,116.0,263.0,,324.0,False,SUPERSOFT,5.0,False,Toro Rosso,0 days 00:24:56.791000,2018-06-22 10:20:56.796,12.0,,False,,False,False
2018,FP1,0 days 00:37:34.091000,GAS,10,0 days 00:02:00.035000,6.0,3.0,0 days 00:35:34.560000,,0 days 00:00:33.571000,0 days 00:00:34.695000,0 days 00:00:51.769000,0 days 00:36:07.627000,0 days 00:36:42.322000,0 days 00:37:34.091000,92.0,247.0,287.0,302.0,False,SUPERSOFT,6.0,False,Toro Rosso,0 days 00:35:34.056000,2018-06-22 10:31:34.061,12.0,,False,,False,False
2018,FP1,0 days 00:39:09.018000,GAS,10,0 days 00:01:34.927000,7.0,3.0,,,0 days 00:00:23.898000,0 days 00:00:28.748000,0 days 00:00:42.281000,0 days 00:37:57.989000,0 days 00:38:26.737000,0 days 00:39:09.018000,120.0,274.0,289.0,327.0,True,SUPERSOFT,7.0,False,Toro Rosso,0 days 00:37:34.091000,2018-06-22 10:33:34.096,1.0,,False,,False,True
2018,FP1,0 days 00:41:18.122000,GAS,10,0 days 00:02:09.104000,8.0,3.0,,,0 days 00:00:31.027000,0 days 00:00:40.907000,0 days 00:00:57.170000,0 days 00:39:40.045000,0 days 00:40:20.952000,0 days 00:41:18.122000,101.0,197.0,291.0,215.0,False,SUPERSOFT,8.0,False,Toro Rosso,0 days 00:39:09.018000,2018-06-22 10:35:09.023,1.0,,False,,False,True
2018,FP1,0 days 00:43:16.681000,GAS,10,0 days 00:01:58.559000,9.0,3.0,,,0 days 00:00:30.306000,0 days 00:00:37.271000,0 days 00:00:50.982000,0 days 00:41:48.428000,0 days 00:42:25.699000,0 days 00:43:16.681000,89.0,244.0,288.0,268.0,False,SUPERSOFT,9.0,False,Toro Rosso,0 days 00:41:18.122000,2018-06-22 10:37:18.127,1.0,,False,,False,True
2018,FP1,0 days 00:44:52.185000,GAS,10,0 days 00:01:35.504000,10.0,3.0,,,0 days 00:00:24.086000,0 days 00:00:28.846000,0 days 00:00:42.572000,0 days 00:43:40.767000,0 days 00:44:09.613000,0 days 00:44:52.185000,118.0,273.0,290.0,322.0,False,SUPERSOFT,10.0,False,Toro Rosso,0 days 00:43:16.681000,2018-06-22 10:39:16.686,1.0,,False,,False,True
