year,session_type,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2018,FP1,0 days 00:17:34.405000,GAS,10,,1.0,1.0,0 days 00:04:33.337000,0 days 00:06:01.679000,0 days 00:00:28.234000,0 days 00:00:42.939000,,0 days 00:05:00.972000,0 days 00:05:43.917000,,154.0,168.0,,236.0,False,ULTRASOFT,1.0,True,Toro Rosso,0 days 00:04:33.337000,2018-05-24 09:00:33.360,,,False,,False,False
2018,FP1,0 days 00:19:02.813000,GAS,10,0 days 00:01:28.408000,2.0,2.0,0 days 00:17:35.062000,,0 days 00:00:25.984000,0 days 00:00:39.287000,0 days 00:00:23.137000,0 days 00:18:00.389000,0 days 00:18:39.676000,0 days 00:19:02.813000,156.0,175.0,222.0,255.0,False,HYPERSOFT,1.0,True,Toro Rosso,0 days 00:17:34.405000,2018-05-24 09:13:34.428,2.0,,False,,False,False
2018,FP1,0 days 00:20:29.138000,GAS,10,0 days 00:01:26.325000,3.0,2.0,,,0 days 00:00:21.690000,0 days 00:00:38.946000,0 days 00:00:25.689000,0 days 00:19:24.503000,0 days 00:20:03.449000,0 days 00:20:29.138000,191.0,175.0,257.0,256.0,True,HYPERSOFT,2.0,True,Toro Rosso,0 days 00:19:02.813000,2018-05-24 09:15:02.836,21.0,,False,,False,True
2018,FP1,0 days 00:21:47.352000,GAS,10,0 days 00:01:18.214000,4.0,2.0,,,0 days 00:00:20.663000,0 days 00:00:35.930000,0 days 00:00:21.621000,0 days 00:20:49.801000,0 days 00:21:25.731000,0 days 00:21:47.352000,192.0,192.0,147.0,272.0,True,HYPERSOFT,3.0,True,Toro Rosso,0 days 00:20:29.138000,2018-05-24 09:16:29.161,12.0,,False,,False,True
2018,FP1,0 days 00:23:21.737000,GAS,10,0 days 00:01:34.385000,5.0,2.0,,,0 days 00:00:25.932000,0 days 00:00:41.450000,0 days 00:00:27.003000,0 days 00:22:13.284000,0 days 00:22:54.734000,0 days 00:23:21.737000,169.0,132.0,251.0,255.0,False,HYPERSOFT,4.0,True,Toro Rosso,0 days 00:21:47.352000,2018-05-24 09:17:47.375,21.0,,False,,False,True
2018,FP1,0 days 00:24:38.089000,GAS,10,0 days 00:01:16.352000,6.0,2.0,,,0 days 00:00:20.481000,0 days 00:00:35.590000,0 days 00:00:20.281000,0 days 00:23:42.218000,0 days 00:24:17.808000,0 days 00:24:38.089000,198.0,192.0,264.0,272.0,True,HYPERSOFT,5.0,True,Toro Rosso,0 days 00:23:21.737000,2018-05-24 09:19:21.760,1.0,,False,,False,True
2018,FP1,0 days 00:25:58.840000,GAS,10,0 days 00:01:20.751000,7.0,2.0,,,0 days 00:00:22.486000,0 days 00:00:37.409000,0 days 00:00:20.856000,0 days 00:25:00.575000,0 days 00:25:37.984000,0 days 00:25:58.840000,181.0,190.0,261.0,256.0,False,HYPERSOFT,6.0,True,Toro Rosso,0 days 00:24:38.089000,2018-05-24 09:20:38.112,12.0,,False,,False,True
2018,FP1,0 days 00:27:13.992000,GAS,10,0 days 00:01:15.152000,8.0,2.0,,,0 days 00:00:19.859000,0 days 00:00:35.204000,0 days 00:00:20.089000,0 days 00:26:18.699000,0 days 00:26:53.903000,0 days 00:27:13.992000,209.0,196.0,261.0,272.0,True,HYPERSOFT,7.0,True,Toro Rosso,0 days 00:25:58.840000,2018-05-24 09:21:58.863,1.0,,False,,False,True
2018,FP1,0 days 00:28:29.200000,GAS,10,0 days 00:01:15.208000,9.0,2.0,,,0 days 00:00:19.933000,0 days 00:00:35.191000,0 days 00:00:20.084000,0 days 00:27:33.925000,0 days 00:28:09.116000,0 days 00:28:29.200000,206.0,195.0,261.0,270.0,False,HYPERSOFT,8.0,True,Toro Rosso,0 days 00:27:13.992000,2018-05-24 09:23:14.015,1.0,,False,,False,True
2018,FP1,0 days 00:29:54.720000,GAS,10,0 days 00:01:25.520000,10.0,2.0,,,0 days 00:00:24.048000,0 days 00:00:39.553000,0 days 00:00:21.919000,0 days 00:28:53.248000,0 days 00:29:32.801000,0 days 00:29:54.720000,183.0,170.0,260.0,247.0,False,HYPERSOFT,9.0,True,Toro Rosso,0 days 00:28:29.200000,2018-05-24 09:24:29.223,1.0,,False,,False,True
2018,FP1,0 days 00:31:09.608000,GAS,10,0 days 00:01:14.888000,11.0,2.0,,,0 days 00:00:19.779000,0 days 00:00:35.128000,0 days 00:00:19.981000,0 days 00:30:14.499000,0 days 00:30:49.627000,0 days 00:31:09.608000,207.0,196.0,262.0,272.0,True,HYPERSOFT,10.0,True,Toro Rosso,0 days 00:29:54.720000,2018-05-24 09:25:54.743,1.0,,False,,False,True
2018,FP1,0 days 00:32:35.623000,GAS,10,0 days 00:01:26.015000,12.0,2.0,,,0 days 00:00:22.607000,0 days 00:00:40.523000,0 days 00:00:22.885000,0 days 00:31:32.215000,0 days 00:32:12.738000,0 days 00:32:35.623000,178.0,175.0,261.0,247.0,False,HYPERSOFT,11.0,True,Toro Rosso,0 days 00:31:09.608000,2018-05-24 09:27:09.631,1.0,,False,,False,True
2018,FP1,0 days 00:33:50.656000,GAS,10,0 days 00:01:15.033000,13.0,2.0,,,0 days 00:00:19.818000,0 days 00:00:35.237000,0 days 00:00:19.978000,0 days 00:32:55.441000,0 days 00:33:30.678000,0 days 00:33:50.656000,205.0,192.0,262.0,272.0,False,HYPERSOFT,12.0,True,Toro Rosso,0 days 00:32:35.623000,2018-05-24 09:28:35.646,1.0,,False,,False,True
2018,FP1,0 days 00:50:44.090000,GAS,10,,14.0,2.0,,0 days 00:35:05.207000,0 days 00:00:19.704000,0 days 00:00:39.873000,,0 days 00:34:10.410000,0 days 00:34:50.268000,,203.0,169.0,,260.0,False,HYPERSOFT,13.0,True,Toro Rosso,0 days 00:33:50.656000,2018-05-24 09:29:50.679,12.0,,False,,False,False
2018,FP1,0 days 00:52:46.521000,GAS,10,0 days 00:02:02.431000,15.0,3.0,0 days 00:50:45.720000,0 days 00:52:06.851000,0 days 00:00:26.851000,0 days 00:00:39.847000,0 days 00:00:55.733000,0 days 00:51:10.941000,0 days 00:51:50.788000,0 days 00:52:46.521000,176.0,164.0,,243.0,False,ULTRASOFT,2.0,False,Toro Rosso,0 days 00:50:44.090000,2018-05-24 09:46:44.113,1.0,,False,,False,False
2018,FP1,0 days 00:54:12.347000,GAS,10,0 days 00:01:25.826000,16.0,4.0,0 days 00:52:47.262000,,0 days 00:00:25.617000,0 days 00:00:38.577000,0 days 00:00:21.632000,0 days 00:53:12.138000,0 days 00:53:50.715000,0 days 00:54:12.347000,177.0,181.0,263.0,258.0,False,ULTRASOFT,3.0,False,Toro Rosso,0 days 00:52:46.521000,2018-05-24 09:48:46.544,1.0,,False,,False,False
