year,session_type,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2020,FP1,0 days 00:18:17.280000,GAS,10,,1.0,1.0,0 days 00:16:25.673000,0 days 00:18:14.136000,,0 days 00:00:41.810000,0 days 00:00:40.898000,,0 days 00:17:36.382000,0 days 00:18:18.651000,199.0,146.0,,,False,HARD,1.0,True,AlphaTauri,0 days 00:16:25.673000,2020-10-23 10:01:27.073,1,,False,,False,False
2020,FP1,0 days 00:33:31.645000,GAS,10,,2.0,2.0,0 days 00:31:57.535000,,,0 days 00:00:37.614000,0 days 00:00:29.259000,,0 days 00:33:02.469000,0 days 00:33:31.779000,251.0,152.0,302.0,,False,HARD,2.0,False,AlphaTauri,0 days 00:18:17.280000,2020-10-23 10:03:18.680,12,,False,,False,False
2020,FP1,0 days 00:35:00.454000,GAS,10,0 days 00:01:28.809000,3.0,2.0,,,0 days 00:00:26.088000,0 days 00:00:35.028000,0 days 00:00:27.693000,0 days 00:33:57.733000,0 days 00:34:32.761000,0 days 00:35:00.454000,263.0,169.0,303.0,329.0,True,HARD,3.0,False,AlphaTauri,0 days 00:33:31.645000,2020-10-23 10:18:33.045,1,,False,,False,True
2020,FP1,0 days 00:36:24.873000,GAS,10,0 days 00:01:24.419000,4.0,2.0,,,0 days 00:00:24.653000,0 days 00:00:32.863000,0 days 00:00:26.903000,0 days 00:35:25.107000,0 days 00:35:57.970000,0 days 00:36:24.873000,266.0,177.0,308.0,323.0,True,HARD,4.0,False,AlphaTauri,0 days 00:35:00.454000,2020-10-23 10:20:01.854,1,,False,,False,True
2020,FP1,0 days 00:37:58.648000,GAS,10,0 days 00:01:33.775000,5.0,2.0,,,0 days 00:00:24.324000,0 days 00:00:37.834000,0 days 00:00:31.617000,0 days 00:36:49.197000,0 days 00:37:27.031000,0 days 00:37:58.648000,274.0,128.0,302.0,330.0,False,HARD,5.0,False,AlphaTauri,0 days 00:36:24.873000,2020-10-23 10:21:26.273,1,,False,,False,True
2020,FP1,0 days 00:39:21.536000,GAS,10,0 days 00:01:22.888000,6.0,2.0,,,0 days 00:00:24.019000,0 days 00:00:32.208000,0 days 00:00:26.661000,0 days 00:38:22.667000,0 days 00:38:54.875000,0 days 00:39:21.536000,271.0,181.0,303.0,322.0,True,HARD,6.0,False,AlphaTauri,0 days 00:37:58.648000,2020-10-23 10:23:00.048,1,,False,,False,True
2020,FP1,0 days 00:40:43.113000,GAS,10,0 days 00:01:21.577000,7.0,2.0,,,0 days 00:00:23.595000,0 days 00:00:31.579000,0 days 00:00:26.403000,0 days 00:39:45.131000,0 days 00:40:16.710000,0 days 00:40:43.113000,273.0,186.0,305.0,,True,HARD,7.0,False,AlphaTauri,0 days 00:39:21.536000,2020-10-23 10:24:22.936,1,,False,,False,True
2020,FP1,0 days 00:42:04.021000,GAS,10,0 days 00:01:20.908000,8.0,2.0,,,0 days 00:00:23.456000,0 days 00:00:31.328000,0 days 00:00:26.124000,0 days 00:41:06.569000,0 days 00:41:37.897000,0 days 00:42:04.021000,,189.0,305.0,323.0,True,HARD,8.0,False,AlphaTauri,0 days 00:40:43.113000,2020-10-23 10:25:44.513,1,,False,,False,True
2020,FP1,0 days 00:43:30.933000,GAS,10,0 days 00:01:26.912000,9.0,2.0,,,0 days 00:00:25.344000,0 days 00:00:34.149000,0 days 00:00:27.419000,0 days 00:42:29.365000,0 days 00:43:03.514000,0 days 00:43:30.933000,249.0,170.0,304.0,311.0,False,HARD,9.0,False,AlphaTauri,0 days 00:42:04.021000,2020-10-23 10:27:05.421,12,,False,,False,True
2020,FP1,0 days 00:44:54.594000,GAS,10,0 days 00:01:23.661000,10.0,2.0,,,0 days 00:00:24.469000,0 days 00:00:32.203000,0 days 00:00:26.989000,0 days 00:43:55.402000,0 days 00:44:27.605000,0 days 00:44:54.594000,269.0,178.0,304.0,322.0,False,HARD,10.0,False,AlphaTauri,0 days 00:43:30.933000,2020-10-23 10:28:32.333,1,,True,TRACK LIMITS AT TURN 1,False,True
2020,FP1,0 days 00:46:14.959000,GAS,10,0 days 00:01:20.365000,11.0,2.0,,,0 days 00:00:23.183000,0 days 00:00:31.053000,0 days 00:00:26.129000,0 days 00:45:17.777000,0 days 00:45:48.830000,0 days 00:46:14.959000,274.0,186.0,305.0,,False,HARD,11.0,False,AlphaTauri,0 days 00:44:54.594000,2020-10-23 10:29:55.994,12,,True,TRACK LIMITS AT TURN 4,False,True
