year,session_type,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2018,FP1,0 days 00:17:55.390000,GAS,10,,1.0,,0 days 00:15:32.833000,0 days 00:17:51.546000,,0 days 00:01:05.718000,0 days 00:00:39.849000,,0 days 00:17:15.563000,0 days 00:17:55.390000,183.0,180.0,,215.0,False,,,True,Toro Rosso,0 days 00:15:32.833000,2018-08-24 09:00:32.851,1,,False,,False,False
2018,FP1,0 days 00:37:12.600000,GAS,10,,2.0,2.0,0 days 00:35:17.036000,,,0 days 00:00:53.552000,0 days 00:00:32.887000,,0 days 00:36:39.733000,0 days 00:37:12.671000,295.0,170.0,209.0,269.0,False,SOFT,2.0,False,Toro Rosso,0 days 00:17:55.390000,2018-08-24 09:02:55.408,1,,False,,False,False
2018,FP1,0 days 00:39:03.255000,GAS,10,0 days 00:01:50.655000,3.0,2.0,,,0 days 00:00:32.068000,0 days 00:00:48.625000,0 days 00:00:29.962000,0 days 00:37:44.668000,0 days 00:38:33.293000,0 days 00:39:03.255000,306.0,200.0,220.0,292.0,True,SOFT,3.0,False,Toro Rosso,0 days 00:37:12.600000,2018-08-24 09:22:12.618,1,,False,,False,True
2018,FP1,0 days 00:40:52.393000,GAS,10,0 days 00:01:49.138000,4.0,2.0,,,0 days 00:00:31.512000,0 days 00:00:47.821000,0 days 00:00:29.805000,0 days 00:39:34.767000,0 days 00:40:22.588000,0 days 00:40:52.393000,315.0,202.0,220.0,294.0,True,SOFT,4.0,False,Toro Rosso,0 days 00:39:03.255000,2018-08-24 09:24:03.273,1,,False,,False,True
2018,FP1,0 days 00:42:58.761000,GAS,10,0 days 00:02:06.368000,5.0,2.0,,,0 days 00:00:36.256000,0 days 00:00:57.513000,0 days 00:00:32.599000,0 days 00:41:28.649000,0 days 00:42:26.162000,0 days 00:42:58.761000,286.0,178.0,221.0,224.0,False,SOFT,5.0,False,Toro Rosso,0 days 00:40:52.393000,2018-08-24 09:25:52.411,1,,False,,False,True
2018,FP1,0 days 00:44:47.257000,GAS,10,0 days 00:01:48.496000,6.0,2.0,,,0 days 00:00:31.586000,0 days 00:00:47.314000,0 days 00:00:29.596000,0 days 00:43:30.347000,0 days 00:44:17.661000,0 days 00:44:47.257000,321.0,202.0,221.0,294.0,True,SOFT,6.0,False,Toro Rosso,0 days 00:42:58.761000,2018-08-24 09:27:58.779,1,,False,,False,True
2018,FP1,0 days 00:47:01.656000,GAS,10,0 days 00:02:14.399000,7.0,2.0,,,0 days 00:00:36.126000,0 days 00:01:00.658000,0 days 00:00:37.615000,0 days 00:45:23.383000,0 days 00:46:24.041000,0 days 00:47:01.656000,283.0,122.0,223.0,257.0,False,SOFT,7.0,False,Toro Rosso,0 days 00:44:47.257000,2018-08-24 09:29:47.275,1,,False,,False,True
2018,FP1,0 days 00:48:48.995000,GAS,10,0 days 00:01:47.339000,8.0,2.0,,,0 days 00:00:31.465000,0 days 00:00:46.568000,0 days 00:00:29.306000,0 days 00:47:33.121000,0 days 00:48:19.689000,0 days 00:48:48.995000,317.0,202.0,220.0,296.0,True,SOFT,8.0,False,Toro Rosso,0 days 00:47:01.656000,2018-08-24 09:32:01.674,1,,False,,False,True
2018,FP1,0 days 00:50:51.599000,GAS,10,0 days 00:02:02.604000,9.0,2.0,,,0 days 00:00:36.264000,0 days 00:00:53.688000,0 days 00:00:32.652000,0 days 00:49:25.259000,0 days 00:50:18.947000,0 days 00:50:51.599000,282.0,175.0,223.0,239.0,False,SOFT,9.0,False,Toro Rosso,0 days 00:48:48.995000,2018-08-24 09:33:49.013,1,,False,,False,True
2018,FP1,0 days 00:52:38.780000,GAS,10,0 days 00:01:47.181000,10.0,2.0,,,0 days 00:00:31.564000,0 days 00:00:46.259000,0 days 00:00:29.358000,0 days 00:51:23.163000,0 days 00:52:09.422000,0 days 00:52:38.780000,319.0,205.0,219.0,296.0,True,SOFT,10.0,False,Toro Rosso,0 days 00:50:51.599000,2018-08-24 09:35:51.617,1,,False,,False,True
2018,FP1,0 days 00:54:33.423000,GAS,10,0 days 00:01:54.643000,11.0,2.0,,0 days 00:54:29.675000,0 days 00:00:31.204000,0 days 00:00:47.619000,0 days 00:00:35.820000,0 days 00:53:09.984000,0 days 00:53:57.603000,0 days 00:54:33.423000,333.0,202.0,,301.0,False,SOFT,11.0,False,Toro Rosso,0 days 00:52:38.780000,2018-08-24 09:37:38.798,1,,False,,False,False
2018,FP1,0 days 01:09:34.500000,GAS,10,,12.0,3.0,0 days 01:07:40.393000,,,0 days 00:00:52.610000,0 days 00:00:32.232000,,0 days 01:09:02.287000,0 days 01:09:34.587000,288.0,188.0,223.0,277.0,False,SOFT,1.0,True,Toro Rosso,0 days 00:54:33.423000,2018-08-24 09:39:33.441,12,,False,,False,False
