year,session_type,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2018,FP1,0 days 00:17:19.014000,GAS,10,,1.0,,0 days 00:15:22.626000,0 days 00:17:17.742000,,0 days 00:00:50.856000,0 days 00:00:25.072000,,0 days 00:16:53.942000,0 days 00:17:19.027000,248.0,199.0,,249.0,False,,,True,Toro Rosso,0 days 00:15:22.626000,2018-10-05 01:00:22.759,1,,False,,False,False
2018,FP1,0 days 00:35:30.042000,GAS,10,,2.0,2.0,0 days 00:33:52.267000,,,0 days 00:00:43.615000,0 days 00:00:19.398000,,0 days 00:35:10.669000,0 days 00:35:31.214000,263.0,292.0,262.0,287.0,False,SOFT,2.0,False,Toro Rosso,0 days 00:17:19.014000,2018-10-05 01:02:19.147,1,,False,,False,False
2018,FP1,0 days 00:37:03.069000,GAS,10,0 days 00:01:33.027000,3.0,2.0,,,0 days 00:00:32.627000,0 days 00:00:42.229000,0 days 00:00:18.171000,0 days 00:36:02.669000,0 days 00:36:44.898000,0 days 00:37:03.069000,271.0,295.0,261.0,286.0,True,SOFT,3.0,False,Toro Rosso,0 days 00:35:30.042000,2018-10-05 01:20:30.175,1,,False,,False,True
2018,FP1,0 days 00:38:47.794000,GAS,10,0 days 00:01:44.725000,4.0,2.0,,,0 days 00:00:32.700000,0 days 00:00:48.962000,0 days 00:00:23.063000,0 days 00:37:35.769000,0 days 00:38:24.731000,0 days 00:38:47.794000,268.0,250.0,255.0,202.0,False,SOFT,4.0,False,Toro Rosso,0 days 00:37:03.069000,2018-10-05 01:22:03.202,1,,False,,False,True
2018,FP1,0 days 00:40:36.121000,GAS,10,0 days 00:01:48.327000,5.0,2.0,,,0 days 00:00:32.581000,0 days 00:00:56.198000,0 days 00:00:19.548000,0 days 00:39:20.375000,0 days 00:40:16.573000,0 days 00:40:36.121000,279.0,271.0,263.0,275.0,False,SOFT,5.0,False,Toro Rosso,0 days 00:38:47.794000,2018-10-05 01:23:47.927,1,,False,,False,True
2018,FP1,0 days 00:42:08.088000,GAS,10,0 days 00:01:31.967000,6.0,2.0,,,0 days 00:00:32.620000,0 days 00:00:41.329000,0 days 00:00:18.018000,0 days 00:41:08.741000,0 days 00:41:50.070000,0 days 00:42:08.088000,278.0,298.0,264.0,297.0,True,SOFT,6.0,False,Toro Rosso,0 days 00:40:36.121000,2018-10-05 01:25:36.254,1,,False,,False,True
2018,FP1,0 days 00:44:03.891000,GAS,10,0 days 00:01:55.803000,7.0,2.0,,,0 days 00:00:41.064000,0 days 00:00:55.577000,0 days 00:00:19.162000,0 days 00:42:49.152000,0 days 00:43:44.729000,0 days 00:44:03.891000,247.0,271.0,265.0,278.0,False,SOFT,7.0,False,Toro Rosso,0 days 00:42:08.088000,2018-10-05 01:27:08.221,1,,False,,False,True
2018,FP1,0 days 00:45:48.923000,GAS,10,0 days 00:01:45.032000,8.0,2.0,,,0 days 00:00:37.753000,0 days 00:00:46.014000,0 days 00:00:21.265000,0 days 00:44:41.644000,0 days 00:45:27.658000,0 days 00:45:48.923000,265.0,276.0,264.0,273.0,False,SOFT,8.0,False,Toro Rosso,0 days 00:44:03.891000,2018-10-05 01:29:04.024,1,,False,,False,True
2018,FP1,0 days 00:47:20.311000,GAS,10,0 days 00:01:31.388000,9.0,2.0,,,0 days 00:00:32.400000,0 days 00:00:41.104000,0 days 00:00:17.884000,0 days 00:46:21.323000,0 days 00:47:02.427000,0 days 00:47:20.311000,280.0,299.0,263.0,297.0,True,SOFT,9.0,False,Toro Rosso,0 days 00:45:48.923000,2018-10-05 01:30:49.056,1,,False,,False,True
2018,FP1,0 days 00:49:30.416000,GAS,10,0 days 00:02:10.105000,10.0,2.0,,,0 days 00:00:46.222000,0 days 00:00:56.405000,0 days 00:00:27.478000,0 days 00:48:06.533000,0 days 00:49:02.938000,0 days 00:49:30.416000,186.0,158.0,263.0,259.0,False,SOFT,10.0,False,Toro Rosso,0 days 00:47:20.311000,2018-10-05 01:32:20.444,1,,False,,False,True
