year,session_type,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2018,FP1,0 days 00:17:59.438000,GAS,10,,1.0,1.0,0 days 00:15:32.708000,0 days 00:17:58.293000,,0 days 00:01:00.495000,0 days 00:01:01.331000,,0 days 00:16:58.107000,0 days 00:17:59.451000,184.0,197.0,,198.0,False,HYPERSOFT,1.0,True,Toro Rosso,0 days 00:15:32.708000,2018-11-23 09:01:08.026,1,,False,,False,False
2018,FP1,0 days 00:37:57.491000,GAS,10,,2.0,2.0,0 days 00:35:36.175000,,,0 days 00:00:54.497000,0 days 00:01:03.355000,,0 days 00:36:54.162000,0 days 00:37:57.577000,214.0,284.0,217.0,291.0,False,HYPERSOFT,2.0,False,Toro Rosso,0 days 00:17:59.438000,2018-11-23 09:03:34.756,1,,False,,False,False
2018,FP1,0 days 00:39:40.477000,GAS,10,0 days 00:01:42.986000,3.0,2.0,,,0 days 00:00:18.142000,0 days 00:00:43.436000,0 days 00:00:41.408000,0 days 00:38:15.633000,0 days 00:38:59.069000,0 days 00:39:40.477000,283.0,311.0,215.0,316.0,True,HYPERSOFT,3.0,False,Toro Rosso,0 days 00:37:57.491000,2018-11-23 09:23:32.809,1,,False,,False,True
2018,FP1,0 days 00:42:15.980000,GAS,10,,4.0,2.0,,,0 days 00:00:28.453000,0 days 00:01:06.258000,0 days 00:01:00.791000,0 days 00:40:08.931000,0 days 00:41:15.201000,0 days 00:42:16.067000,149.0,234.0,218.0,159.0,False,HYPERSOFT,4.0,False,Toro Rosso,0 days 00:39:40.477000,2018-11-23 09:25:15.795,1,,False,,False,False
2018,FP1,0 days 00:43:58.021000,GAS,10,0 days 00:01:42.041000,5.0,2.0,,,0 days 00:00:17.885000,0 days 00:00:43.032000,0 days 00:00:41.124000,0 days 00:42:33.865000,0 days 00:43:16.897000,0 days 00:43:58.021000,288.0,310.0,206.0,315.0,True,HYPERSOFT,5.0,False,Toro Rosso,0 days 00:42:15.980000,2018-11-23 09:27:51.298,1,,False,,False,True
2018,FP1,0 days 00:46:31.664000,GAS,10,,6.0,2.0,,,0 days 00:00:28.137000,0 days 00:00:58.695000,0 days 00:01:06.820000,0 days 00:44:26.201000,0 days 00:45:24.847000,0 days 00:46:31.757000,205.0,222.0,216.0,264.0,False,HYPERSOFT,6.0,False,Toro Rosso,0 days 00:43:58.021000,2018-11-23 09:29:33.339,1,,False,,False,False
2018,FP1,0 days 00:48:14,GAS,10,0 days 00:01:42.336000,7.0,2.0,,,0 days 00:00:17.775000,0 days 00:00:43.205000,0 days 00:00:41.356000,0 days 00:46:49.439000,0 days 00:47:32.644000,0 days 00:48:14,287.0,309.0,212.0,315.0,False,HYPERSOFT,7.0,False,Toro Rosso,0 days 00:46:31.664000,2018-11-23 09:32:06.982,1,,False,,False,True
2018,FP1,0 days 00:50:26.255000,GAS,10,0 days 00:02:12.255000,8.0,2.0,,0 days 00:50:25.136000,0 days 00:00:22.798000,0 days 00:00:57.255000,0 days 00:00:52.202000,0 days 00:48:36.798000,0 days 00:49:34.053000,0 days 00:50:26.255000,217.0,195.0,,258.0,False,HYPERSOFT,8.0,False,Toro Rosso,0 days 00:48:14,2018-11-23 09:33:49.318,12,,False,,False,False
2018,FP1,0 days 00:52:52.683000,GAS,10,0 days 00:02:26.428000,9.0,3.0,0 days 00:50:49.278000,0 days 00:52:51.928000,0 days 00:00:44.341000,0 days 00:00:50.457000,0 days 00:00:51.630000,0 days 00:51:10.596000,0 days 00:52:01.053000,0 days 00:52:52.683000,247.0,243.0,,250.0,False,HYPERSOFT,9.0,False,Toro Rosso,0 days 00:50:26.255000,2018-11-23 09:36:01.573,1,,False,,False,False
2018,FP1,0 days 01:12:46.645000,GAS,10,,10.0,4.0,0 days 01:10:08.368000,,,0 days 00:00:59.656000,0 days 00:01:09.839000,,0 days 01:11:36.829000,0 days 01:12:46.725000,214.0,252.0,218.0,296.0,False,HYPERSOFT,1.0,True,Toro Rosso,0 days 00:52:52.683000,2018-11-23 09:38:28.001,1,,False,,False,False
