year,session_type,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2018,FP1,0 days 00:17:23.317000,GAS,10,,1.0,,0 days 00:15:10.387000,0 days 00:17:15.033000,,0 days 00:00:40.537000,0 days 00:00:38.134000,,0 days 00:16:45.220000,0 days 00:17:23.317000,200.0,272.0,,183.0,False,,,True,Toro Rosso,0 days 00:15:10.387000,2018-09-28 08:00:10.437,1,,False,,False,False
2018,FP1,0 days 00:33:15.071000,GAS,10,,2.0,2.0,0 days 00:31:11.819000,,,0 days 00:00:37.472000,0 days 00:00:32.782000,,0 days 00:32:42.327000,0 days 00:33:15.268000,231.0,281.0,166.0,225.0,False,ULTRASOFT,1.0,True,Toro Rosso,0 days 00:17:23.317000,2018-09-28 08:02:23.367,1,,False,,False,False
2018,FP1,0 days 00:34:56.534000,GAS,10,0 days 00:01:41.463000,3.0,2.0,,,0 days 00:00:36.221000,0 days 00:00:35.438000,0 days 00:00:29.804000,0 days 00:33:51.292000,0 days 00:34:26.730000,0 days 00:34:56.534000,257.0,290.0,166.0,286.0,True,ULTRASOFT,2.0,True,Toro Rosso,0 days 00:33:15.071000,2018-09-28 08:18:15.121,1,,False,,False,True
2018,FP1,0 days 00:36:36.897000,GAS,10,0 days 00:01:40.363000,4.0,2.0,,,0 days 00:00:36.189000,0 days 00:00:34.790000,0 days 00:00:29.384000,0 days 00:35:32.723000,0 days 00:36:07.513000,0 days 00:36:36.897000,258.0,296.0,163.0,280.0,True,ULTRASOFT,3.0,True,Toro Rosso,0 days 00:34:56.534000,2018-09-28 08:19:56.584,1,,False,,False,True
2018,FP1,0 days 00:38:16.439000,GAS,10,0 days 00:01:39.542000,5.0,2.0,,,0 days 00:00:35.761000,0 days 00:00:34.586000,0 days 00:00:29.195000,0 days 00:37:12.658000,0 days 00:37:47.244000,0 days 00:38:16.439000,259.0,291.0,163.0,296.0,True,ULTRASOFT,4.0,True,Toro Rosso,0 days 00:36:36.897000,2018-09-28 08:21:36.947,1,,False,,False,True
2018,FP1,0 days 00:40:03.763000,GAS,10,0 days 00:01:47.324000,6.0,2.0,,,0 days 00:00:35.438000,0 days 00:00:34.309000,0 days 00:00:37.577000,0 days 00:38:51.877000,0 days 00:39:26.186000,0 days 00:40:03.763000,261.0,304.0,126.0,308.0,False,ULTRASOFT,5.0,True,Toro Rosso,0 days 00:38:16.439000,2018-09-28 08:23:16.489,1,,False,,False,True
2018,FP1,0 days 00:42:10.050000,GAS,10,0 days 00:02:06.287000,7.0,2.0,,,0 days 00:00:46.993000,0 days 00:00:44.074000,0 days 00:00:35.220000,0 days 00:40:50.756000,0 days 00:41:34.830000,0 days 00:42:10.050000,125.0,291.0,169.0,224.0,False,ULTRASOFT,6.0,True,Toro Rosso,0 days 00:40:03.763000,2018-09-28 08:25:03.813,1,,False,,False,True
2018,FP1,0 days 00:43:47.737000,GAS,10,0 days 00:01:37.687000,8.0,2.0,,,0 days 00:00:35.086000,0 days 00:00:33.849000,0 days 00:00:28.752000,0 days 00:42:45.136000,0 days 00:43:18.985000,0 days 00:43:47.737000,269.0,314.0,165.0,316.0,True,ULTRASOFT,7.0,True,Toro Rosso,0 days 00:42:10.050000,2018-09-28 08:27:10.100,1,,False,,False,True
2018,FP1,0 days 00:45:46.344000,GAS,10,0 days 00:01:58.607000,9.0,2.0,,0 days 00:45:38.387000,0 days 00:00:41.548000,0 days 00:00:40.182000,0 days 00:00:36.877000,0 days 00:44:29.285000,0 days 00:45:09.467000,0 days 00:45:46.344000,198.0,277.0,,229.0,False,ULTRASOFT,8.0,True,Toro Rosso,0 days 00:43:47.737000,2018-09-28 08:28:47.787,1,,False,,False,False
2018,FP1,0 days 01:05:10.972000,GAS,10,,10.0,3.0,0 days 01:03:16.238000,,,0 days 00:00:38.034000,0 days 00:00:31.892000,,0 days 01:04:39.102000,0 days 01:05:11.303000,230.0,272.0,170.0,245.0,False,ULTRASOFT,1.0,True,Toro Rosso,0 days 00:45:46.344000,2018-09-28 08:30:46.394,12,,False,,False,False
