year,session_type,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2020,FP1,0 days 00:17:47.021000,GAS,10,,1.0,1.0,0 days 00:16:22.136000,0 days 00:17:45.332000,,0 days 00:00:31.348000,0 days 00:00:30.362000,,0 days 00:17:16.659000,0 days 00:17:47.130000,199.0,187.0,,197.0,False,SOFT,1.0,True,AlphaTauri,0 days 00:16:22.136000,2020-12-04 13:31:22.160,1,,False,,False,False
2020,FP1,0 days 00:38:06.820000,GAS,10,,2.0,2.0,0 days 00:36:52.013000,,,0 days 00:00:28.266000,0 days 00:00:24.637000,,0 days 00:37:42.384000,0 days 00:38:06.953000,269.0,231.0,290.0,174.0,False,SOFT,2.0,False,AlphaTauri,0 days 00:17:47.021000,2020-12-04 13:32:47.045,167,,False,,False,False
2020,FP1,0 days 00:39:02.943000,GAS,10,0 days 00:00:56.123000,3.0,2.0,,,0 days 00:00:19.255000,0 days 00:00:20.006000,0 days 00:00:16.862000,0 days 00:38:26.075000,0 days 00:38:46.081000,0 days 00:39:02.943000,284.0,261.0,289.0,319.0,True,SOFT,3.0,False,AlphaTauri,0 days 00:38:06.820000,2020-12-04 13:53:06.844,1,,False,,False,True
2020,FP1,0 days 00:40:29.303000,GAS,10,0 days 00:01:26.360000,4.0,2.0,,,0 days 00:00:29.109000,0 days 00:00:35.551000,0 days 00:00:21.700000,0 days 00:39:32.052000,0 days 00:40:07.603000,0 days 00:40:29.303000,117.0,223.0,242.0,295.0,False,SOFT,4.0,False,AlphaTauri,0 days 00:39:02.943000,2020-12-04 13:54:02.967,1,,False,,False,True
2020,FP1,0 days 00:41:44.212000,GAS,10,0 days 00:01:14.909000,5.0,2.0,,,0 days 00:00:27.288000,0 days 00:00:28.987000,0 days 00:00:18.634000,0 days 00:40:56.591000,0 days 00:41:25.578000,0 days 00:41:44.212000,220.0,218.0,290.0,255.0,False,SOFT,5.0,False,AlphaTauri,0 days 00:40:29.303000,2020-12-04 13:55:29.327,12,,False,,False,True
2020,FP1,0 days 00:42:40.545000,GAS,10,0 days 00:00:56.333000,6.0,2.0,,,0 days 00:00:19.430000,0 days 00:00:20.050000,0 days 00:00:16.853000,0 days 00:42:03.642000,0 days 00:42:23.692000,0 days 00:42:40.545000,284.0,264.0,290.0,322.0,False,SOFT,6.0,False,AlphaTauri,0 days 00:41:44.212000,2020-12-04 13:56:44.236,1,,False,,False,True
2020,FP1,0 days 00:44:00.145000,GAS,10,0 days 00:01:19.600000,7.0,2.0,,,0 days 00:00:27.658000,0 days 00:00:31.929000,0 days 00:00:20.013000,0 days 00:43:08.203000,0 days 00:43:40.132000,0 days 00:44:00.145000,215.0,230.0,293.0,314.0,False,SOFT,7.0,False,AlphaTauri,0 days 00:42:40.545000,2020-12-04 13:57:40.569,1,,False,,False,True
2020,FP1,0 days 00:45:08.007000,GAS,10,0 days 00:01:07.862000,8.0,2.0,,,0 days 00:00:19.493000,0 days 00:00:30.099000,0 days 00:00:18.270000,0 days 00:44:19.638000,0 days 00:44:49.737000,0 days 00:45:08.007000,284.0,233.0,287.0,325.0,False,SOFT,8.0,False,AlphaTauri,0 days 00:44:00.145000,2020-12-04 13:59:00.169,1,,False,,False,True
2020,FP1,0 days 00:46:04.477000,GAS,10,0 days 00:00:56.470000,9.0,2.0,,,0 days 00:00:19.648000,0 days 00:00:19.980000,0 days 00:00:16.842000,0 days 00:45:27.655000,0 days 00:45:47.635000,0 days 00:46:04.477000,278.0,264.0,293.0,321.0,False,SOFT,9.0,False,AlphaTauri,0 days 00:45:08.007000,2020-12-04 14:00:08.031,1,,False,,False,True
2020,FP1,0 days 00:47:22.786000,GAS,10,0 days 00:01:18.309000,10.0,2.0,,0 days 00:47:21.453000,0 days 00:00:23.649000,0 days 00:00:27.242000,0 days 00:00:27.418000,0 days 00:46:28.126000,0 days 00:46:55.368000,0 days 00:47:22.786000,237.0,198.0,,260.0,False,SOFT,10.0,False,AlphaTauri,0 days 00:46:04.477000,2020-12-04 14:01:04.501,1,,False,,False,False
2020,FP1,0 days 01:05:15.510000,GAS,10,,11.0,3.0,0 days 01:04:01.504000,,,0 days 00:00:29.359000,0 days 00:00:18.429000,,0 days 01:04:57.111000,0 days 01:05:18.478000,241.0,230.0,290.0,164.0,False,SOFT,1.0,True,AlphaTauri,0 days 00:47:22.786000,2020-12-04 14:02:22.810,167,,False,,False,False
2020,FP1,0 days 01:06:10.823000,GAS,10,0 days 00:00:55.313000,12.0,3.0,,,0 days 00:00:19.034000,0 days 00:00:19.494000,0 days 00:00:16.785000,0 days 01:05:34.544000,0 days 01:05:54.038000,0 days 01:06:10.823000,284.0,265.0,289.0,318.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:05:15.510000,2020-12-04 14:20:15.534,1,,False,,False,True
2020,FP1,0 days 01:07:27.957000,GAS,10,0 days 00:01:17.134000,13.0,3.0,,,0 days 00:00:24.965000,0 days 00:00:30.903000,0 days 00:00:21.266000,0 days 01:06:35.788000,0 days 01:07:06.691000,0 days 01:07:27.957000,174.0,220.0,254.0,239.0,False,SOFT,3.0,True,AlphaTauri,0 days 01:06:10.823000,2020-12-04 14:21:10.847,1,,False,,False,True
2020,FP1,0 days 01:08:44.842000,GAS,10,0 days 00:01:16.885000,14.0,3.0,,,0 days 00:00:26.362000,0 days 00:00:29.259000,0 days 00:00:21.264000,0 days 01:07:54.319000,0 days 01:08:23.578000,0 days 01:08:44.842000,217.0,224.0,293.0,258.0,False,SOFT,4.0,True,AlphaTauri,0 days 01:07:27.957000,2020-12-04 14:22:27.981,12,,False,,False,True
2020,FP1,0 days 01:09:40.008000,GAS,10,0 days 00:00:55.166000,15.0,3.0,,,0 days 00:00:19.051000,0 days 00:00:19.515000,0 days 00:00:16.600000,0 days 01:09:03.893000,0 days 01:09:23.408000,0 days 01:09:40.008000,287.0,265.0,292.0,321.0,True,SOFT,5.0,True,AlphaTauri,0 days 01:08:44.842000,2020-12-04 14:23:44.866,1,,False,,False,True
