year,session_type,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2020,FP1,0 days 00:16:22.353000,GAS,10,,1.0,1.0,0 days 00:14:46.373000,0 days 00:16:18.896000,,0 days 00:00:40.167000,0 days 00:00:35.844000,,0 days 00:15:46.609000,0 days 00:16:22.353000,267.0,171.0,,218.0,False,MEDIUM,1.0,True,AlphaTauri,0 days 00:14:46.373000,2020-07-10 09:00:51.583,1,,False,,False,False
2020,FP1,0 days 00:39:54.016000,GAS,10,,2.0,2.0,0 days 00:38:34.383000,,,0 days 00:00:36.242000,0 days 00:00:22.436000,,0 days 00:39:31.765000,0 days 00:39:54.173000,253.0,210.0,278.0,265.0,False,MEDIUM,2.0,False,AlphaTauri,0 days 00:16:22.353000,2020-07-10 09:02:27.563,1,,False,,False,False
2020,FP1,0 days 00:41:00.905000,GAS,10,0 days 00:01:06.889000,3.0,2.0,,,0 days 00:00:17.020000,0 days 00:00:29.505000,0 days 00:00:20.364000,0 days 00:40:11.036000,0 days 00:40:40.541000,0 days 00:41:00.905000,306.0,239.0,278.0,304.0,True,MEDIUM,3.0,False,AlphaTauri,0 days 00:39:54.016000,2020-07-10 09:25:59.226,1,,False,,False,True
2020,FP1,0 days 00:42:40.638000,GAS,10,0 days 00:01:39.733000,4.0,2.0,,,0 days 00:00:21.178000,0 days 00:00:42.878000,0 days 00:00:35.677000,0 days 00:41:22.083000,0 days 00:42:04.961000,0 days 00:42:40.638000,266.0,183.0,249.0,261.0,False,MEDIUM,4.0,False,AlphaTauri,0 days 00:41:00.905000,2020-07-10 09:27:06.115,126,,False,,False,False
2020,FP1,0 days 00:48:21.186000,GAS,10,,5.0,2.0,,0 days 00:44:23.275000,0 days 00:00:22.330000,0 days 00:00:45.525000,,0 days 00:43:03.189000,0 days 00:43:48.733000,,264.0,176.0,,273.0,False,MEDIUM,5.0,False,AlphaTauri,0 days 00:42:40.638000,2020-07-10 09:28:45.848,651,,False,,False,False
2020,FP1,0 days 00:49:38.556000,GAS,10,,6.0,3.0,0 days 00:48:21.186000,,,0 days 00:00:35.179000,0 days 00:00:23.190000,,0 days 00:49:15.585000,0 days 00:49:38.714000,267.0,218.0,279.0,270.0,False,MEDIUM,6.0,False,AlphaTauri,0 days 00:48:21.186000,2020-07-10 09:34:26.396,1,,False,,False,False
2020,FP1,0 days 00:50:45.159000,GAS,10,0 days 00:01:06.603000,7.0,3.0,,,0 days 00:00:16.817000,0 days 00:00:29.400000,0 days 00:00:20.386000,0 days 00:49:55.373000,0 days 00:50:24.773000,0 days 00:50:45.159000,311.0,239.0,280.0,309.0,True,MEDIUM,7.0,False,AlphaTauri,0 days 00:49:38.556000,2020-07-10 09:35:43.766,1,,False,,False,True
2020,FP1,0 days 00:52:18.437000,GAS,10,0 days 00:01:33.278000,8.0,3.0,,,0 days 00:00:20.605000,0 days 00:00:46.388000,0 days 00:00:26.285000,0 days 00:51:05.764000,0 days 00:51:52.152000,0 days 00:52:18.437000,262.0,180.0,281.0,259.0,False,MEDIUM,8.0,False,AlphaTauri,0 days 00:50:45.159000,2020-07-10 09:36:50.369,1,,False,,False,True
2020,FP1,0 days 00:53:25.022000,GAS,10,0 days 00:01:06.585000,9.0,3.0,,,0 days 00:00:16.793000,0 days 00:00:29.591000,0 days 00:00:20.201000,0 days 00:52:35.230000,0 days 00:53:04.821000,0 days 00:53:25.022000,311.0,237.0,281.0,307.0,True,MEDIUM,9.0,False,AlphaTauri,0 days 00:52:18.437000,2020-07-10 09:38:23.647,1,,False,,False,True
2020,FP1,0 days 00:54:55.144000,GAS,10,0 days 00:01:30.122000,10.0,3.0,,,0 days 00:00:20.081000,0 days 00:00:44.568000,0 days 00:00:25.473000,0 days 00:53:45.103000,0 days 00:54:29.671000,0 days 00:54:55.144000,264.0,164.0,279.0,263.0,False,MEDIUM,10.0,False,AlphaTauri,0 days 00:53:25.022000,2020-07-10 09:39:30.232,1,,False,,False,True
