year,session_type,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2020,FP1,0 days 00:36:00.792000,GAS,10,,1.0,1.0,0 days 00:34:07.914000,,,0 days 00:00:43.211000,0 days 00:00:30.308000,,0 days 00:35:30.516000,0 days 00:36:00.952000,224.0,261.0,223.0,260.0,False,HARD,1.0,True,AlphaTauri,0 days 00:34:07.914000,2020-11-13 08:19:36.773,1,,False,,False,False
2020,FP1,0 days 00:37:59.582000,GAS,10,0 days 00:01:58.790000,2.0,1.0,,0 days 00:37:59.044000,0 days 00:00:45.317000,0 days 00:00:41.477000,0 days 00:00:31.996000,0 days 00:36:46.109000,0 days 00:37:27.586000,0 days 00:37:59.582000,245.0,268.0,,258.0,False,HARD,2.0,True,AlphaTauri,0 days 00:36:00.792000,2020-11-13 08:21:29.651,1,,False,,False,False
2020,FP1,0 days 00:52:59.883000,GAS,10,,3.0,2.0,0 days 00:51:09.717000,,,0 days 00:00:41.821000,0 days 00:00:29.510000,,0 days 00:52:30.435000,0 days 00:53:00.054000,236.0,268.0,225.0,266.0,False,HARD,3.0,False,AlphaTauri,0 days 00:37:59.582000,2020-11-13 08:23:28.441,1,,False,,False,False
2020,FP1,0 days 00:54:50.582000,GAS,10,0 days 00:01:50.699000,4.0,2.0,,,0 days 00:00:42.991000,0 days 00:00:38.882000,0 days 00:00:28.826000,0 days 00:53:42.874000,0 days 00:54:21.756000,0 days 00:54:50.582000,259.0,271.0,226.0,285.0,True,HARD,4.0,False,AlphaTauri,0 days 00:52:59.883000,2020-11-13 08:38:28.742,1,,False,,False,True
2020,FP1,0 days 00:56:40.079000,GAS,10,0 days 00:01:49.497000,5.0,2.0,,,0 days 00:00:41.771000,0 days 00:00:38.551000,0 days 00:00:29.175000,0 days 00:55:32.353000,0 days 00:56:10.904000,0 days 00:56:40.079000,265.0,271.0,230.0,237.0,True,HARD,5.0,False,AlphaTauri,0 days 00:54:50.582000,2020-11-13 08:40:19.441,1,,False,,False,True
2020,FP1,0 days 00:58:58.395000,GAS,10,0 days 00:02:18.316000,6.0,2.0,,0 days 00:58:58.436000,0 days 00:01:00.134000,0 days 00:00:43.967000,0 days 00:00:34.215000,0 days 00:57:40.213000,0 days 00:58:24.180000,0 days 00:58:58.395000,214.0,264.0,,239.0,False,HARD,6.0,False,AlphaTauri,0 days 00:56:40.079000,2020-11-13 08:42:08.938,12,,False,,False,False
2020,FP1,0 days 01:17:17.730000,GAS,10,,7.0,3.0,0 days 01:15:34.222000,,,0 days 00:00:37.944000,0 days 00:00:28.383000,,0 days 01:16:49.360000,0 days 01:17:17.856000,259.0,271.0,230.0,259.0,False,MEDIUM,1.0,True,AlphaTauri,0 days 00:58:58.395000,2020-11-13 08:44:27.254,1,,False,,False,False
2020,FP1,0 days 01:19:00.828000,GAS,10,0 days 00:01:43.098000,8.0,3.0,,,0 days 00:00:39.819000,0 days 00:00:36.277000,0 days 00:00:27.002000,0 days 01:17:57.549000,0 days 01:18:33.826000,0 days 01:19:00.828000,262.0,277.0,234.0,288.0,True,MEDIUM,2.0,True,AlphaTauri,0 days 01:17:17.730000,2020-11-13 09:02:46.589,12,,False,,False,True
2020,FP1,0 days 01:20:59.859000,GAS,10,0 days 00:01:59.031000,9.0,3.0,,,0 days 00:00:45.709000,0 days 00:00:39.343000,0 days 00:00:33.979000,0 days 01:19:46.537000,0 days 01:20:25.880000,0 days 01:20:59.859000,246.0,273.0,226.0,238.0,False,MEDIUM,3.0,True,AlphaTauri,0 days 01:19:00.828000,2020-11-13 09:04:29.687,26,,False,,False,False
2020,FP1,0 days 01:22:51.544000,GAS,10,0 days 00:01:51.685000,10.0,3.0,,,0 days 00:00:42.453000,0 days 00:00:41.268000,0 days 00:00:27.964000,0 days 01:21:42.312000,0 days 01:22:23.580000,0 days 01:22:51.544000,224.0,274.0,232.0,272.0,False,MEDIUM,4.0,True,AlphaTauri,0 days 01:20:59.859000,2020-11-13 09:06:28.718,671,,False,,False,False
2020,FP1,0 days 01:24:33.215000,GAS,10,0 days 00:01:41.671000,11.0,3.0,,,0 days 00:00:39.258000,0 days 00:00:35.323000,0 days 00:00:27.090000,0 days 01:23:30.802000,0 days 01:24:06.125000,0 days 01:24:33.215000,266.0,277.0,236.0,286.0,True,MEDIUM,5.0,True,AlphaTauri,0 days 01:22:51.544000,2020-11-13 09:08:20.403,1,,False,,False,True
2020,FP1,0 days 01:26:12.345000,GAS,10,0 days 00:01:39.130000,12.0,3.0,,,0 days 00:00:37.622000,0 days 00:00:34.986000,0 days 00:00:26.522000,0 days 01:25:10.837000,0 days 01:25:45.823000,0 days 01:26:12.345000,272.0,280.0,237.0,287.0,True,MEDIUM,6.0,True,AlphaTauri,0 days 01:24:33.215000,2020-11-13 09:10:02.074,1,,False,,False,True
2020,FP1,0 days 01:27:50.125000,GAS,10,0 days 00:01:37.780000,13.0,3.0,,,0 days 00:00:37.032000,0 days 00:00:34.494000,0 days 00:00:26.254000,0 days 01:26:49.377000,0 days 01:27:23.871000,0 days 01:27:50.125000,274.0,279.0,239.0,296.0,True,MEDIUM,7.0,True,AlphaTauri,0 days 01:26:12.345000,2020-11-13 09:11:41.204,12,,False,,False,True
2020,FP1,0 days 01:29:29.496000,GAS,10,0 days 00:01:39.371000,14.0,3.0,,,0 days 00:00:37.590000,0 days 00:00:35.054000,0 days 00:00:26.727000,0 days 01:28:27.715000,0 days 01:29:02.769000,0 days 01:29:29.496000,272.0,287.0,237.0,284.0,False,MEDIUM,8.0,True,AlphaTauri,0 days 01:27:50.125000,2020-11-13 09:13:18.984,1,,False,,False,True
2020,FP1,0 days 01:31:06.305000,GAS,10,0 days 00:01:36.809000,15.0,3.0,,,0 days 00:00:36.423000,0 days 00:00:34.187000,0 days 00:00:26.199000,0 days 01:30:05.919000,0 days 01:30:40.106000,0 days 01:31:06.305000,274.0,280.0,239.0,295.0,True,MEDIUM,9.0,True,AlphaTauri,0 days 01:29:29.496000,2020-11-13 09:14:58.355,1,,False,,False,True
2020,FP1,0 days 01:32:46.690000,GAS,10,0 days 00:01:40.385000,16.0,3.0,,,0 days 00:00:36.293000,0 days 00:00:36.515000,0 days 00:00:27.577000,0 days 01:31:42.598000,0 days 01:32:19.113000,0 days 01:32:46.690000,275.0,278.0,239.0,261.0,False,MEDIUM,10.0,True,AlphaTauri,0 days 01:31:06.305000,2020-11-13 09:16:35.164,1,,False,,False,True
2020,FP1,0 days 01:34:22.565000,GAS,10,0 days 00:01:35.875000,17.0,3.0,,,0 days 00:00:36.149000,0 days 00:00:33.718000,0 days 00:00:26.008000,0 days 01:33:22.839000,0 days 01:33:56.557000,0 days 01:34:22.565000,274.0,280.0,240.0,294.0,True,MEDIUM,11.0,True,AlphaTauri,0 days 01:32:46.690000,2020-11-13 09:18:15.549,1,,False,,False,True
2020,FP1,0 days 01:36:04.949000,GAS,10,0 days 00:01:42.384000,18.0,3.0,,,0 days 00:00:35.753000,0 days 00:00:35.289000,0 days 00:00:31.342000,0 days 01:34:58.318000,0 days 01:35:33.607000,0 days 01:36:04.949000,271.0,256.0,241.0,240.0,False,MEDIUM,12.0,True,AlphaTauri,0 days 01:34:22.565000,2020-11-13 09:19:51.424,1,,False,,False,True
2020,FP1,0 days 01:37:41.234000,GAS,10,0 days 00:01:36.285000,19.0,3.0,,,0 days 00:00:35.674000,0 days 00:00:33.935000,0 days 00:00:26.676000,0 days 01:36:40.623000,0 days 01:37:14.558000,0 days 01:37:41.234000,276.0,281.0,240.0,290.0,False,MEDIUM,13.0,True,AlphaTauri,0 days 01:36:04.949000,2020-11-13 09:21:33.808,12,,False,,False,True
2020,FP1,0 days 01:39:20.247000,GAS,10,0 days 00:01:39.013000,20.0,3.0,,,0 days 00:00:36.189000,0 days 00:00:35.246000,0 days 00:00:27.578000,0 days 01:38:17.423000,0 days 01:38:52.669000,0 days 01:39:20.247000,272.0,287.0,241.0,292.0,False,MEDIUM,14.0,True,AlphaTauri,0 days 01:37:41.234000,2020-11-13 09:23:10.093,21,,False,,False,True
2020,FP1,0 days 01:41:09.780000,GAS,10,0 days 00:01:49.533000,21.0,3.0,,,0 days 00:00:40.735000,0 days 00:00:40.059000,0 days 00:00:28.739000,0 days 01:40:00.982000,0 days 01:40:41.041000,0 days 01:41:09.780000,152.0,254.0,239.0,260.0,False,MEDIUM,15.0,True,AlphaTauri,0 days 01:39:20.247000,2020-11-13 09:24:49.106,1,,False,,False,True
2020,FP1,0 days 01:42:46.639000,GAS,10,0 days 00:01:36.859000,22.0,3.0,,,0 days 00:00:36.280000,0 days 00:00:34.184000,0 days 00:00:26.395000,0 days 01:41:46.060000,0 days 01:42:20.244000,0 days 01:42:46.639000,274.0,280.0,236.0,294.0,False,MEDIUM,16.0,True,AlphaTauri,0 days 01:41:09.780000,2020-11-13 09:26:38.639,12,,False,,False,True
